sec,SCL,SCR,TEMP,BVP,PVA,HR,MOTION
0,0.9328745454549789,0.0010000000474974,32.58875007629395,48.68864469528198,0.0,30.0,0.005927096307277673
1,0.9377956464886665,0.0010000000474974,32.61750020980835,50.808913230895996,0.0,30.0,0.1169254450127482
2,0.9637745320796967,0.10421886727272063,32.63899955749512,49.850427341461184,1.5848596215248107,32.088346290588376,0.03286844305694101
3,0.9875789612531662,0.04506809664890164,32.64675073623657,48.52258815765381,4.932845115661621,42.38261318206787,0.03197039924561975
4,0.9842219278216362,0.02655504057183856,32.66524934768677,48.587912273406985,4.333943819999695,52.39648246765137,0.02011620625853537
5,0.9706030458211898,0.005389960492402651,32.68649988174438,51.953602123260495,10.12454215288162,57.93099937438965,0.04597989954054352
6,0.9637363895773887,-0.007992017018841523,32.71124982833862,50.50976819992066,11.355311393737791,59.055118560791016,0.0071843594312667805
7,0.9727774947881699,-0.0023803246731404102,32.72950077056885,49.82173366546631,11.355311393737791,59.055118560791016,0.012931846641004075
8,0.9841837868094444,0.008645587565842962,32.74725046157837,48.94444456100464,11.355311393737791,59.055118560791016,0.0
9,0.9773552596569062,0.0030048844240809325,32.768249702453616,50.239926719665526,11.355311393737791,59.055118560791016,0.0
10,0.9710226863622665,-0.0025803714990615275,32.78975019454956,49.675213718414305,10.409035134315491,60.63974380493164,0.018679334037005883
11,0.9741508111357687,-0.0006566011486938507,32.8055004119873,49.81990222930908,5.843711900711059,59.22575073242187,0.06968828365206717
12,0.9754859969019888,-0.0010284015873594232,32.81300086975098,49.76129417419433,4.004884243011475,58.42258834838867,0.0
13,0.9700689733028411,-0.005073587386868848,32.826751136779784,49.65445690155029,4.004884243011475,58.42258834838867,0.0
14,0.9635837957262993,-0.008529532013926597,32.83825044631958,49.08547010421753,4.004884243011475,58.42258834838867,0.0
15,0.9597308158874513,-0.01002848041243845,32.859249877929685,49.901709365844724,4.44749698638916,57.514521312713626,0.02298994958400724
16,0.9577852889895441,-0.009256307827308723,32.875250053405765,50.09462757110596,4.598901224136354,56.202200317382825,0.0
17,0.9535126820206642,-0.009597233543172417,32.89225015640259,50.436508083343504,4.590964794158936,55.73618316650392,0.007184359245002263
18,0.947408966720104,-0.011156191211193737,32.91049976348877,48.61843738555908,4.590964794158936,55.73618316650392,0.004310615547001358
19,0.9461882159113882,-0.008332636347040475,32.9239990234375,50.00549430847168,4.459096670150758,54.20696096420288,0.0
20,0.9456541523337363,-0.005805132852401527,32.93924932479858,50.08608083724975,4.004884243011475,48.939640045166016,0.0
