signal,f_statistic,p_value,significance
SCL,0.46261636623513563,0.7102371180887682,not significant
HR,2.0121502972777248,0.1307138982617556,not significant
PVA,0.17443004741396684,0.9129566684803186,not significant
TEMP,2.5261099963245375,0.07386305348086071,not significant
BVP,3.374593942637887,0.02945588602001234,SIGNIFICANT
SCR,0.24512528937963815,0.8642110363402551,not significant
