group,sec,HR_mean
conventional,0,30.929245403834752
conventional,1,39.231567573547366
conventional,2,49.11862245287214
conventional,3,56.10803598676409
conventional,4,65.05114387330555
conventional,5,69.6775550706046
conventional,6,75.11251649856567
conventional,7,77.33795808156331
conventional,8,79.03636602674212
conventional,9,80.92773063296363
conventional,10,80.94159667605446
conventional,11,82.11636107308524
conventional,12,83.87310472215925
conventional,13,84.24920132500785
conventional,14,83.11015072323028
conventional,15,82.93611154556274
conventional,16,83.82119283222016
conventional,17,82.9574903306507
conventional,18,80.80558504831222
conventional,19,81.27087733859108
conventional,20,80.03518181755429
conventional,21,77.99364406040736
conventional,22,78.01446895145234
conventional,23,77.2606940133231
conventional,24,77.96309434345791
conventional,25,78.34072471800305
conventional,26,77.41039143516903
conventional,27,75.80999602817353
conventional,28,76.78643279756818
conventional,29,77.8763528415135
conventional,30,80.14475993201846
conventional,31,81.28736746651786
conventional,32,81.27779847099667
conventional,33,80.94753952480498
conventional,34,80.39803348268781
conventional,35,82.64429309027535
conventional,36,83.93691570191156
conventional,37,83.42488486880347
conventional,38,82.87233819961548
conventional,39,82.16796562558127
conventional,40,81.47419399079823
conventional,41,79.84715487162273
conventional,42,80.55192118145172
conventional,43,82.01938018798829
conventional,44,83.19135067349389
conventional,45,83.87281314759028
conventional,46,83.86949947448004
conventional,47,83.18612073716663
conventional,48,83.95293136778332
conventional,49,85.40614312489826
conventional,50,85.73849236170452
conventional,51,85.35246209644136
conventional,52,84.7233144260588
conventional,53,84.3932648386274
conventional,54,84.08711777641659
conventional,55,84.13634396507626
conventional,56,85.8874203091576
conventional,57,86.77166734877086
conventional,58,85.73487629663376
conventional,59,85.21523889814105
conventional,60,84.49893427803403
conventional,61,85.89443365732829
conventional,62,86.46565305619012
conventional,63,87.81040014539447
conventional,64,88.39141795748756
conventional,65,88.44427607400077
conventional,66,89.02705203919183
conventional,67,90.26739689963203
conventional,68,90.19635909852528
conventional,69,88.78032225654239
conventional,70,88.70227178846088
conventional,71,87.81120575496128
conventional,72,89.18582947140648
conventional,73,87.06323998314994
conventional,74,86.87613151186989
conventional,75,87.56320078713553
conventional,76,86.70747499011811
conventional,77,85.69485862822759
conventional,78,85.57866434369768
conventional,79,85.55515430087135
conventional,80,83.44490445909047
conventional,81,81.73166406268166
conventional,82,81.91621281305949
conventional,83,83.68591049739292
conventional,84,83.9518354779198
conventional,85,84.99042882011051
conventional,86,85.88572571164086
conventional,87,87.22706791105725
conventional,88,87.61876112620035
conventional,89,87.77556267692928
conventional,90,86.95711367925007
conventional,91,87.93267684209914
conventional,92,87.18351005372547
conventional,93,86.02592368352981
conventional,94,85.24457882926578
conventional,95,85.92913057236444
conventional,96,85.95986728214082
conventional,97,86.80314395087106
conventional,98,86.89046734855289
conventional,99,86.88543435959589
conventional,100,85.9041606721424
conventional,101,85.82550090154011
conventional,102,87.06656493232364
conventional,103,87.18563490822201
conventional,104,86.54096921284993
conventional,105,85.95474180948166
conventional,106,86.4144937606085
conventional,107,86.53290489741734
conventional,108,85.3997281846546
conventional,109,86.05349095662434
conventional,110,87.53826599575225
conventional,111,88.26900946299236
conventional,112,88.05025024868193
conventional,113,87.83243469056629
conventional,114,87.14833236421858
conventional,115,88.13426571800595
conventional,116,89.22413296472459
conventional,117,89.2598872638884
conventional,118,87.76365853264218
conventional,119,87.27020877656483
conventional,120,85.51857996441069
conventional,121,84.49942428952171
conventional,122,83.31495388121832
conventional,123,83.50770547049386
conventional,124,85.89538323084514
conventional,125,86.24721129281181
conventional,126,86.49354331606911
conventional,127,87.14972323463077
conventional,128,88.74357887449719
conventional,129,89.88802908942813
conventional,130,90.3171222959246
conventional,131,89.84304387228829
conventional,132,91.0539463769822
conventional,133,90.669044421968
conventional,134,91.07197329203288
conventional,135,90.36194359007335
conventional,136,88.54316916692825
conventional,137,87.51110082353864
conventional,138,86.65632168906075
conventional,139,84.6493565513974
conventional,140,84.5367024467105
conventional,141,85.26748716717674
conventional,142,84.67622986748104
conventional,143,83.00149261837915
conventional,144,82.4172106152489
conventional,145,83.88006301153274
conventional,146,84.58508348919096
conventional,147,85.2172265461513
conventional,148,85.81971343812488
conventional,149,86.84211757750738
conventional,150,86.07771838960194
conventional,151,85.51031150817872
conventional,152,84.82932094392322
conventional,153,85.79343077341716
conventional,154,86.75626338777089
conventional,155,86.05559691474552
conventional,156,86.34830807277135
conventional,157,88.563565662929
conventional,158,89.26654431479318
conventional,159,89.25656192416237
conventional,160,88.65746366410028
conventional,161,87.49317565191359
conventional,162,86.15597906112671
conventional,163,86.17006232852027
conventional,164,85.33213410150437
conventional,165,85.88228977748325
conventional,166,85.00570378984723
conventional,167,84.00593432925996
conventional,168,84.21879496347336
conventional,169,85.43354490370977
conventional,170,86.65056947072347
conventional,171,87.766198185512
conventional,172,86.64842673256284
conventional,173,85.82051616396222
conventional,174,85.8540755498977
conventional,175,86.95308583577474
conventional,176,85.44001484371367
conventional,177,86.90309981845674
conventional,178,84.49712915874663
conventional,179,80.65593181791759
conventional,180,79.59228163219635
conventional,181,81.75254878089542
conventional,182,84.97547070639473
conventional,183,87.84284525371734
conventional,184,87.97804529099237
conventional,185,86.7806273414975
conventional,186,85.68312966028849
conventional,187,84.16186111995152
conventional,188,82.93161928540184
conventional,189,85.14040604091826
conventional,190,87.19496648879279
conventional,191,86.8730071703593
conventional,192,87.00756541660854
conventional,193,83.8773144040789
conventional,194,82.51389853613716
conventional,195,81.99232628231957
conventional,196,81.31142651694161
conventional,197,79.01618191401164
conventional,198,77.4879976363409
conventional,199,76.80554758707683
conventional,200,78.39006199155536
conventional,201,78.98198738098145
conventional,202,79.84831817717779
conventional,203,80.84936092467535
conventional,204,82.33154686519077
conventional,205,83.13309479668027
conventional,206,83.58609526497978
conventional,207,83.35808172680083
conventional,208,81.69972573689053
conventional,209,80.00298741204398
conventional,210,78.57231369018555
conventional,211,76.85496784391857
conventional,212,75.9576917375837
conventional,213,76.43175281343007
conventional,214,78.2592499596732
conventional,215,81.28686121531895
conventional,216,83.71477649779547
conventional,217,85.39915940875099
conventional,218,85.16750406991868
conventional,219,85.04293265115646
conventional,220,83.41255059923444
conventional,221,86.30673000244867
conventional,222,89.86551854723976
conventional,223,89.53392314910889
conventional,224,89.21573097592308
conventional,225,89.94466582706997
conventional,226,86.94365891502018
conventional,227,85.09957316716512
conventional,228,85.4252190726144
conventional,229,84.87754716419037
conventional,230,82.60823425565448
conventional,231,84.19385604404268
conventional,232,85.96820517948696
conventional,233,88.17131510235015
conventional,234,89.63328263419014
conventional,235,90.10017246972947
conventional,236,90.20001291547503
conventional,237,90.12404093061176
conventional,238,89.63796141488211
conventional,239,86.57689862728118
vr_high,0,30.080564785003663
vr_high,1,33.0786048412323
vr_high,2,38.31435950279236
vr_high,3,49.043812837600704
vr_high,4,58.21185529708862
vr_high,5,64.02222166061401
vr_high,6,65.10856763839722
vr_high,7,67.36370186805725
vr_high,8,72.0844439792633
vr_high,9,74.74687944412231
vr_high,10,74.91931798934937
vr_high,11,74.58314114570618
vr_high,12,73.07755471229554
vr_high,13,72.29475484848021
vr_high,14,72.40824920654298
vr_high,15,74.57440695762634
vr_high,16,74.66276624679566
vr_high,17,76.98625150680542
vr_high,18,78.24304100036622
vr_high,19,77.03744549751282
vr_high,20,76.57394739151002
vr_high,21,76.76812383651733
vr_high,22,76.13352146148682
vr_high,23,75.59442784309388
vr_high,24,75.66267747879029
vr_high,25,75.72423152923584
vr_high,26,75.8134327507019
vr_high,27,76.5922511100769
vr_high,28,76.19026603698731
vr_high,29,72.83920080184937
vr_high,30,71.57550432205201
vr_high,31,71.34256813049316
vr_high,32,72.81398525238038
vr_high,33,72.9637166595459
vr_high,34,73.06868541717529
vr_high,35,73.39738285064698
vr_high,36,74.0622688293457
vr_high,37,75.42839065551757
vr_high,38,75.94503210067748
vr_high,39,75.88387084960938
vr_high,40,75.01599401473999
vr_high,41,74.60699666976929
vr_high,42,74.94803073883057
vr_high,43,75.15791612625122
vr_high,44,75.82140796661376
vr_high,45,76.68615829467774
vr_high,46,77.02139986038208
vr_high,47,78.01459957122803
vr_high,48,78.16062286376953
vr_high,49,77.70696018218993
vr_high,50,76.67794826507568
vr_high,51,75.75938230514527
vr_high,52,74.23812036514282
vr_high,53,74.70055017471313
vr_high,54,75.01307125091553
vr_high,55,76.30431190490722
vr_high,56,79.0696427822113
vr_high,57,80.77742900848389
vr_high,58,79.70551908493042
vr_high,59,80.23581100463866
vr_high,60,79.61428997039795
vr_high,61,79.20674783706666
vr_high,62,78.56026521682739
vr_high,63,78.29272449493408
vr_high,64,78.17300643920899
vr_high,65,78.47459699630738
vr_high,66,79.2671485710144
vr_high,67,78.83042556762696
vr_high,68,78.99065946578979
vr_high,69,80.61157871246338
vr_high,70,81.0303928565979
vr_high,71,79.75017892837525
vr_high,72,79.11645809173584
vr_high,73,77.55292583465577
vr_high,74,76.85258846282959
vr_high,75,78.13156222343444
vr_high,76,80.44364593505858
vr_high,77,81.78944177627564
vr_high,78,81.91266983032226
vr_high,79,80.94119052886963
vr_high,80,80.28215112686158
vr_high,81,80.16758699417115
vr_high,82,80.25453161239624
vr_high,83,80.4334333229065
vr_high,84,80.50298854827881
vr_high,85,80.75609233856201
vr_high,86,80.54783546447754
vr_high,87,80.6948678779602
vr_high,88,81.50794475555419
vr_high,89,81.15592834472656
vr_high,90,80.71836441993713
vr_high,91,81.40187305450439
vr_high,92,81.83620843887329
vr_high,93,81.8764955329895
vr_high,94,82.76409656524659
vr_high,95,82.31211456298828
vr_high,96,81.43976800918578
vr_high,97,79.87401659011842
vr_high,98,79.92864121437073
vr_high,99,79.41817390441895
vr_high,100,79.65093843460083
vr_high,101,79.83466157913207
vr_high,102,79.01865102767945
vr_high,103,77.25414371490479
vr_high,104,77.4712590408325
vr_high,105,77.66662343978882
vr_high,106,77.78763893127442
vr_high,107,79.00680799484253
vr_high,108,80.60172264099121
vr_high,109,82.20013692855835
vr_high,110,84.86747737884522
vr_high,111,86.95335983276367
vr_high,112,87.19695165634155
vr_high,113,86.391119556427
vr_high,114,84.01903924942016
vr_high,115,82.06831668853759
vr_high,116,81.00968557357788
vr_high,117,81.45186931610108
vr_high,118,81.8378720664978
vr_high,119,81.94162616729736
vr_high,120,82.61203947067261
vr_high,121,83.57853080749513
vr_high,122,84.88569128036498
vr_high,123,84.65049545288085
vr_high,124,84.69319679260255
vr_high,125,84.66509275436401
vr_high,126,84.28208585739137
vr_high,127,84.51823743820191
vr_high,128,85.08283441543578
vr_high,129,85.27849267959594
vr_high,130,85.82191213607788
vr_high,131,86.68223287582398
vr_high,132,87.23021074295043
vr_high,133,87.45587198257445
vr_high,134,86.91292535781861
vr_high,135,86.12068857192993
vr_high,136,86.0802292060852
vr_high,137,86.0160320854187
vr_high,138,85.71781490325927
vr_high,139,85.19112586975098
vr_high,140,85.12364116668701
vr_high,141,85.22092308044434
vr_high,142,85.86481058120727
vr_high,143,86.61541856765747
