group,sec,MOTION_mean
conventional,0,0.17147525655371798
conventional,1,0.295191632628086
conventional,2,0.29478964565233107
conventional,3,0.15136760358831708
conventional,4,0.19727052856414085
conventional,5,0.1918394956826454
conventional,6,0.35425732314054453
conventional,7,0.24839921703650839
conventional,8,0.16914889219970924
conventional,9,0.16549684259863123
conventional,10,0.08971040804116495
conventional,11,0.04748519305139776
conventional,12,0.049195754820747
conventional,13,0.11916628020505109
conventional,14,0.07752265643683214
conventional,15,0.07017579383793329
conventional,16,0.11453921187314248
conventional,17,0.04323444713261861
conventional,18,0.03339871749991459
conventional,19,0.023545882114697037
conventional,20,0.027103850068080956
conventional,21,0.025273549219682067
conventional,22,0.03450202979147431
conventional,23,0.024076155919049436
conventional,24,0.02364851539688448
conventional,25,0.03222698254422058
conventional,26,0.0389922538062646
conventional,27,0.07654763610057885
conventional,28,0.1267868343474609
conventional,29,0.07458904288886556
conventional,30,0.12132158893204867
conventional,31,0.06566846349409645
conventional,32,0.04031793915977077
conventional,33,0.04802401951913319
conventional,34,0.09907573269059256
conventional,35,0.10607192940300417
conventional,36,0.1469201434048868
conventional,37,0.08101220178816997
conventional,38,0.0401639886732612
conventional,39,0.03747840694905743
conventional,40,0.056320244127086194
conventional,41,0.07498247232288116
conventional,42,0.0641631693002723
conventional,43,0.035040856525301894
conventional,44,0.025153809874540252
conventional,45,0.057355133364243145
conventional,46,0.03146578257992151
conventional,47,0.06951722676555312
conventional,48,0.04771611849289562
conventional,49,0.04105348051303906
conventional,50,0.03830802965731844
conventional,51,0.03818828983321075
conventional,52,0.03112366988013186
conventional,53,0.036058640559869126
conventional,54,0.01769576093980241
conventional,55,0.024974200892306488
conventional,56,0.04343116196493306
conventional,57,0.027634124032088668
conventional,58,0.015412160745334033
conventional,59,0.027873602660284148
conventional,60,0.021655711185719267
conventional,61,0.012230516340406143
conventional,62,0.013368039764463885
conventional,63,0.013949630755398925
conventional,64,0.022382700061869015
conventional,65,0.02699266367015381
conventional,66,0.034288209508217475
conventional,67,0.03410004749894139
conventional,68,0.02683871288207313
conventional,69,0.035451391348171775
conventional,70,0.0229557381055894
conventional,71,0.01972277677130128
conventional,72,0.03728169197482719
conventional,73,0.012512758995095857
conventional,74,0.027822286325196396
conventional,75,0.03646917532065082
conventional,76,0.052633983473337795
conventional,77,0.02231427746869266
conventional,78,0.0740245583777626
conventional,79,0.053035964843417896
conventional,80,0.03421978704808721
conventional,81,0.02017607541666141
conventional,82,0.032714492419645864
conventional,83,0.029430214022951446
conventional,84,0.030918402854530562
conventional,85,0.027163719926916383
conventional,86,0.02559000324635275
conventional,87,0.01745628227612798
conventional,88,0.010742327686221806
conventional,89,0.026043301847364194
conventional,90,0.0681658837057295
conventional,91,0.04936681063402263
conventional,92,0.06648098030792811
conventional,93,0.04102782235436493
conventional,94,0.024264317644493893
conventional,95,0.022297171840355484
conventional,96,0.026043301927191835
conventional,97,0.01967145985081078
conventional,98,0.031174986836101305
conventional,99,0.03859027189513045
conventional,100,0.05920253975228182
