group_collapsed,sec,PVA_mean
Conventional,0,0.5689865827560425
Conventional,1,3.366038689159212
Conventional,2,7.789580745072592
Conventional,3,9.209285342125664
Conventional,4,12.519390698273975
Conventional,5,15.352113580136072
Conventional,6,19.68530146337691
Conventional,7,21.39447059517815
Conventional,8,23.185882806777954
Conventional,9,23.830949408099766
Conventional,10,22.847142351809
Conventional,11,23.93956047126225
Conventional,12,22.698732403346472
Conventional,13,22.912843659378233
Conventional,14,23.14861338252113
Conventional,15,23.98880750792367
Conventional,16,25.183876879442305
Conventional,17,24.51721017814818
Conventional,18,25.063346757207597
Conventional,19,24.260073415438335
Conventional,20,25.215972129503886
Conventional,21,25.42423969109853
Conventional,22,25.175504296734218
Conventional,23,24.605122420333682
Conventional,24,24.837490473474777
Conventional,25,25.766207374845234
Conventional,26,24.285946990194777
Conventional,27,25.10250575031553
Conventional,28,24.399238152731034
Conventional,29,23.92894928455353
Conventional,30,25.407988755475905
Conventional,31,25.885487260137285
Conventional,32,24.92008257366362
Conventional,33,25.61835008291971
Conventional,34,26.33542635667892
Conventional,35,25.749142222177415
Conventional,36,26.853770548389072
Conventional,37,26.072707727977207
Conventional,38,26.23387999761672
Conventional,39,25.763183837277545
Conventional,40,25.77614983490535
Conventional,41,27.108465380895705
Conventional,42,25.429472773415704
Conventional,43,25.101081455889204
Conventional,44,24.339874381678445
Conventional,45,25.70469201519376
Conventional,46,25.497238218216665
Conventional,47,25.008314436957953
Conventional,48,26.998924289998556
Conventional,49,28.231118037019456
Conventional,50,29.269347084703902
Conventional,51,29.635153040431792
Conventional,52,30.253764486312868
Conventional,53,27.489941104820797
Conventional,54,24.97092832610721
Conventional,55,23.853828899917147
Conventional,56,24.0455260407357
Conventional,57,25.33638604311716
Conventional,58,26.538810262793586
Conventional,59,26.96229437873477
Conventional,60,26.90604117143722
Conventional,61,26.936333499635968
Conventional,62,27.578434813590277
Conventional,63,27.117448679038457
Conventional,64,26.506453650338308
Conventional,65,26.773358780429476
Conventional,66,26.280364938577016
Conventional,67,26.702569826443987
Conventional,68,26.875137727033525
Conventional,69,26.98159781126749
Conventional,70,26.85859643845331
Conventional,71,26.9076690969013
Conventional,72,27.266033005146753
Conventional,73,27.124048003696263
Conventional,74,27.079248798461187
Conventional,75,27.577766239075437
Conventional,76,27.788069283394584
Conventional,77,26.674544959976558
Conventional,78,26.34531082652864
Conventional,79,27.85414864619573
Conventional,80,27.361387532665617
Conventional,81,28.625065415813808
Conventional,82,28.814582347869873
Conventional,83,30.306733296598708
Conventional,84,32.38766784895034
Conventional,85,32.824350529625306
Conventional,86,30.433339318774994
Conventional,87,29.420634781746635
Conventional,88,29.389440931025007
Conventional,89,29.89194124142329
Conventional,90,28.222222210112072
Conventional,91,27.601459400994436
Conventional,92,28.96232337043399
Conventional,93,29.761672302087145
Conventional,94,30.275713827496485
Conventional,95,27.939676469848273
Conventional,96,27.349991052491326
Conventional,97,27.28888276701882
Conventional,98,26.897639322280888
Conventional,99,27.298680318537215
Conventional,100,27.25946261031287
Conventional,101,27.704604874338422
Conventional,102,28.362201230866567
Conventional,103,29.41339612915402
Conventional,104,29.98406876722972
Conventional,105,29.627071332363855
Conventional,106,29.56325923090889
Conventional,107,29.601691729114172
Conventional,108,30.01555321557181
Conventional,109,28.798825277600972
Conventional,110,29.16021254516783
Conventional,111,31.529769066969553
Conventional,112,29.750014550912947
Conventional,113,28.75635221174785
Conventional,114,28.02575734626679
Conventional,115,27.600645326432726
Conventional,116,27.676405413377854
Conventional,117,28.499244018963406
Conventional,118,30.488051249867393
Conventional,119,30.40711656411489
Conventional,120,28.82801313400269
Conventional,121,29.108262048448836
Conventional,122,30.68628962664377
Conventional,123,32.02052409592129
Conventional,124,31.742223058428085
Conventional,125,30.397435645830065
Conventional,126,30.523809394382294
Conventional,127,31.416361439795722
Conventional,128,31.627216682547616
Conventional,129,32.04040918747584
Conventional,130,32.41926833902087
Conventional,131,30.601779493831454
Conventional,132,27.889848261787776
Conventional,133,27.082388655344648
Conventional,134,28.179225548676083
Conventional,135,28.683150310743425
Conventional,136,29.878103290285384
Conventional,137,30.794581019878386
Conventional,138,30.633321671258834
Conventional,139,30.201319767179946
Conventional,140,29.962497829255604
Conventional,141,30.47764427888961
Conventional,142,32.45895117350987
Conventional,143,35.67373071057456
Conventional,144,34.31440777381262
Conventional,145,33.111518044131145
Conventional,146,32.666230332283746
Conventional,147,32.84426391805921
Conventional,148,30.696464604990823
Conventional,149,32.84961309716815
Conventional,150,34.06825967970349
Conventional,151,33.56575967641104
Conventional,152,33.66067790190379
Conventional,153,31.704779375734784
Conventional,154,31.82891411440713
Conventional,155,30.41566347054073
Conventional,156,31.33769363732565
Conventional,157,31.37467275063197
Conventional,158,31.059654634907133
Conventional,159,31.298098535764787
Conventional,160,31.581574829419456
Conventional,161,31.547677336420332
Conventional,162,31.46549188636598
Conventional,163,31.899063766570322
Conventional,164,30.571573895499817
Conventional,165,30.441857451200484
Conventional,166,32.06936490308671
Conventional,167,32.26937645276388
Conventional,168,31.945287862845834
Conventional,169,32.711495155379886
Conventional,170,32.62617016519819
Conventional,171,31.744578182697296
Conventional,172,30.368713502656846
Conventional,173,30.594482292447772
Conventional,174,30.451712254683176
Conventional,175,29.76132313694273
Conventional,176,29.018663971197036
Conventional,177,31.19533125048592
Conventional,178,30.519914106527967
Conventional,179,29.794871909845444
Conventional,180,29.008837879271738
Conventional,181,28.60090723775682
Conventional,182,28.776557022049317
Conventional,183,29.764201500302267
Conventional,184,29.45110190822965
Conventional,185,28.095121878669374
Conventional,186,27.071137833311447
Conventional,187,27.84100796949296
Conventional,188,31.272544973237174
Conventional,189,30.808245069640023
Conventional,190,28.169341233798438
Conventional,191,28.509360846451354
Conventional,192,29.752834521588824
Conventional,193,30.071399428447087
Conventional,194,30.656578696057913
Conventional,195,30.192162067549567
Conventional,196,29.713093477203728
Conventional,197,28.46592816568556
Conventional,198,27.105005994297212
Conventional,199,27.320192863259997
Conventional,200,27.688731972376505
Conventional,201,29.129949621359508
Conventional,202,28.448078205471948
Conventional,203,28.158613856633504
Conventional,204,28.434996184848604
Conventional,205,28.54410161631448
Conventional,206,29.18637729315531
Conventional,207,30.059015367144628
Conventional,208,30.531048576604753
Conventional,209,31.447991258757458
Conventional,210,31.808564504555296
Conventional,211,32.57558570646104
Conventional,212,32.95235195841108
Conventional,213,30.133670809155422
Conventional,214,29.628903101171765
Conventional,215,29.587592118127006
Conventional,216,28.7175709713073
Conventional,217,29.335862605912347
Conventional,218,29.138438259987602
Conventional,219,29.98063822189967
Conventional,220,29.58369671163105
Conventional,221,29.753241198403494
Conventional,222,29.362230369022914
Conventional,223,25.869847192366915
Conventional,224,25.38127214028722
Conventional,225,25.734374046325684
Conventional,226,27.988894855976106
Conventional,227,26.405110490889776
Conventional,228,27.703587158804847
Conventional,229,26.703412799608138
Conventional,230,25.958253163950786
Conventional,231,24.413832072984604
Conventional,232,23.87621374470847
Conventional,233,25.550177570184072
Conventional,234,27.859236367543538
Conventional,235,27.16908007746651
Conventional,236,27.50002930675234
Conventional,237,29.793185885747274
Conventional,238,31.765277155240376
Conventional,239,32.789347007870674
VR,0,1.0960364268376277
VR,1,5.38910016830151
VR,2,8.032966985610814
VR,3,11.503803814832981
VR,4,14.42589463362327
VR,5,14.07701710485495
VR,6,15.562411964856661
VR,7,16.136141748611745
VR,8,15.948952750059275
VR,9,16.97205793811725
VR,10,18.984690345479894
VR,11,20.82488010938351
VR,12,22.763947416039613
VR,13,23.633112638271772
VR,14,22.64335008080189
VR,15,22.223584159520957
VR,16,21.205104722426487
VR,17,19.4568188731487
VR,18,21.857729743535703
VR,19,20.972128375218464
VR,20,20.347210733248637
VR,21,19.916408544549576
VR,22,19.889358502626415
VR,23,20.082018291720978
VR,24,20.172161050943227
VR,25,19.681436076989538
VR,26,20.393326906516
VR,27,21.58678500331365
VR,28,21.895745233847546
VR,29,21.97426508481686
VR,30,21.447966720507697
VR,31,21.239504420298797
VR,32,22.037193706402412
VR,33,21.838921937575705
VR,34,21.29834718016478
VR,35,19.357471754917732
VR,36,18.505635585234714
VR,37,19.48605248377873
VR,38,19.34298389737423
VR,39,17.724922545139606
VR,40,16.87163047056932
VR,41,17.27782469345973
VR,42,17.268596825003623
VR,43,17.106767099178754
VR,44,17.019324559890308
VR,45,17.108269832684446
VR,46,17.693740025621192
VR,47,18.04179569918376
VR,48,18.022400700128994
VR,49,18.468723547458648
VR,50,18.831267037299963
VR,51,19.450831090486965
VR,52,19.34918287075483
VR,53,18.597163476164525
VR,54,18.56022821068764
VR,55,18.984596759539382
VR,56,19.061308612731786
VR,57,18.65023005925692
VR,58,18.343430070693675
VR,59,18.33697289778636
VR,60,18.537968477148276
VR,61,18.915398778823707
VR,62,19.32389403833793
VR,63,19.399924844503403
VR,64,18.709401665284084
VR,65,18.471776099159168
VR,66,19.13097586310827
VR,67,19.929557744814797
VR,68,20.306353755868397
VR,69,20.301047107806575
VR,70,20.305672871378754
VR,71,20.38794965537695
VR,72,20.352517155271308
VR,73,21.53167565751534
VR,74,21.54550604774402
VR,75,21.322274120495873
VR,76,21.14283390595363
VR,77,20.602071177042447
VR,78,19.172630824492526
VR,79,19.397835099238616
VR,80,19.235747149815925
VR,81,19.053818001196934
VR,82,18.869423313782764
VR,83,19.73400961298209
VR,84,18.55715231849597
VR,85,18.640415229247164
VR,86,19.429017598583147
VR,87,19.768714134280497
VR,88,20.205363025802832
VR,89,20.055860840357266
VR,90,20.292594365431714
VR,91,21.161548040463376
VR,92,21.484009611606602
VR,93,21.942542340663763
VR,94,21.78416455961191
VR,95,21.450619684274383
VR,96,20.315675844595983
VR,97,20.269582999898837
VR,98,20.371724302493607
VR,99,20.21924007534981
VR,100,19.81983173821981
VR,101,19.965412751527932
VR,102,20.383770016065007
VR,103,20.67270116874805
VR,104,21.72377183849995
VR,105,21.161477420880242
VR,106,19.70888492694268
VR,107,19.217385016725615
VR,108,19.326148190177403
VR,109,19.313022609398914
VR,110,18.968981972795266
VR,111,19.002536132014715
VR,112,19.5092280961
VR,113,20.01054300230283
VR,114,20.589790487518677
VR,115,20.919437432059873
VR,116,20.814431264308784
VR,117,20.89316223699313
VR,118,20.857236851407933
VR,119,20.282990411611703
VR,120,19.69366966967399
VR,121,19.25760788183946
