group_collapsed,sec,SCL_mean
Conventional,0,3.1106880993360564
Conventional,1,3.137466289794871
Conventional,2,3.157628472628338
Conventional,3,3.1388141692394305
Conventional,4,3.0882533588579726
Conventional,5,3.098564254705395
Conventional,6,3.128143582528546
Conventional,7,3.1455791021031994
Conventional,8,3.145935158715362
Conventional,9,3.1383182353561834
Conventional,10,3.131026506565866
Conventional,11,3.1334952404456478
Conventional,12,3.1535193682071707
Conventional,13,3.1624460251913185
Conventional,14,3.1533813069264096
Conventional,15,3.146481944620609
Conventional,16,3.1482640082282685
Conventional,17,3.1316459510298
Conventional,18,3.101750517636538
Conventional,19,3.0840715956120266
Conventional,20,3.0752938793528646
Conventional,21,3.0715135962835385
Conventional,22,3.069764220643611
Conventional,23,3.0689558584420458
Conventional,24,3.071517236140512
Conventional,25,3.0725817389786245
Conventional,26,3.0781041220540093
Conventional,27,3.0860988740410122
Conventional,28,3.084852711040349
Conventional,29,3.0950473568269183
Conventional,30,3.1128171317634132
Conventional,31,3.116657372918867
Conventional,32,3.1234695363967195
Conventional,33,3.1189081046552887
Conventional,34,3.0966750117994493
Conventional,35,3.075046838607107
Conventional,36,3.0620038055947854
Conventional,37,3.0656969146714323
Conventional,38,3.078890707503472
Conventional,39,3.0884440960983435
Conventional,40,3.0949111128137226
Conventional,41,3.1035671166366052
Conventional,42,3.1074800148428907
Conventional,43,3.099240026445616
Conventional,44,3.0872687560639207
Conventional,45,3.0697388024202414
Conventional,46,3.051462203370673
Conventional,47,3.0434819740021513
Conventional,48,3.0437181258662824
Conventional,49,3.0398833337639055
Conventional,50,3.045238605319035
Conventional,51,3.04741305173153
Conventional,52,3.0392747604598602
Conventional,53,3.0333999688604045
Conventional,54,3.0281554969471123
Conventional,55,3.019483164378575
Conventional,56,3.023557752459532
Conventional,57,3.0391894015527905
Conventional,58,3.0454565836382765
Conventional,59,3.0351783995472252
Conventional,60,3.0198610009891644
Conventional,61,3.0118262989003037
Conventional,62,3.019930055276269
Conventional,63,3.043376617630323
Conventional,64,3.047240477285924
Conventional,65,3.0356343539697783
Conventional,66,3.024451498563091
Conventional,67,3.016157006241736
Conventional,68,3.017537627262729
Conventional,69,3.0288984911959798
Conventional,70,3.047790903810944
Conventional,71,3.074788865234171
Conventional,72,3.0931017988139677
Conventional,73,3.0868509524634904
Conventional,74,3.0743637925102596
Conventional,75,3.055934631327788
Conventional,76,3.0379014395886945
Conventional,77,3.0247457774267312
Conventional,78,3.024807551520921
Conventional,79,3.0404610097408296
Conventional,80,3.049939907572809
Conventional,81,3.046161421849614
Conventional,82,3.0380830981369527
Conventional,83,3.031926716438362
Conventional,84,3.0284752155343693
Conventional,85,3.022522297164514
Conventional,86,3.0237448457805884
Conventional,87,3.0340412271342108
Conventional,88,3.0455129020093454
Conventional,89,3.047950742340513
Conventional,90,3.042501021212056
Conventional,91,3.03506212238045
Conventional,92,3.036729751953057
Conventional,93,3.0451477840542793
Conventional,94,3.047950759654244
Conventional,95,3.0588629388738244
Conventional,96,3.0634062037049303
Conventional,97,3.049476680886887
Conventional,98,3.036916850524999
Conventional,99,3.0389932124565044
Conventional,100,3.050454002352698
Conventional,101,3.055667571652503
Conventional,102,3.0391276454641707
Conventional,103,3.021574027995978
Conventional,104,3.0125583725138787
Conventional,105,3.0012774181862674
Conventional,106,2.9901962934682764
Conventional,107,2.982588459214284
Conventional,108,2.987266162321681
Conventional,109,2.998379980595339
Conventional,110,3.0088689002252758
Conventional,111,3.01386994389551
Conventional,112,3.0124693547863335
Conventional,113,3.0111050997284194
Conventional,114,2.987989145517349
Conventional,115,2.9705954186086143
Conventional,116,3.0099007143505982
Conventional,117,3.060773980830397
Conventional,118,3.1158435353920573
Conventional,119,3.170844075988446
Conventional,120,3.221521135934052
Conventional,121,3.255353082397155
Conventional,122,3.266109045382057
Conventional,123,3.2707340550387194
Conventional,124,3.2748558659106495
Conventional,125,3.2687122029030604
Conventional,126,3.2556637175026397
Conventional,127,3.259534850716591
Conventional,128,3.2536800250056244
Conventional,129,3.233076397790795
Conventional,130,3.2430330612829756
Conventional,131,3.246609902577031
Conventional,132,3.2563140614401727
Conventional,133,3.262346911660972
Conventional,134,3.2470422429697856
Conventional,135,3.224373170396402
Conventional,136,3.204303619336514
Conventional,137,3.193861919694714
Conventional,138,3.1922687995646677
Conventional,139,3.1935621967450496
Conventional,140,3.1909154287761163
Conventional,141,3.180593641066835
Conventional,142,3.1682881442563873
Conventional,143,3.1651400298234966
Conventional,144,3.1793383984516064
Conventional,145,3.1947375149066963
Conventional,146,3.2027849627570024
Conventional,147,3.203825872781731
Conventional,148,3.208950424549125
Conventional,149,3.2235702476685955
Conventional,150,3.2425807361446677
Conventional,151,3.2566973507936514
Conventional,152,3.2475163725160416
Conventional,153,3.2256829364313964
Conventional,154,3.202717734979732
Conventional,155,3.1861523765183626
Conventional,156,3.1881687638128087
Conventional,157,3.2158479704033764
Conventional,158,3.2358575835824013
Conventional,159,3.226711104171617
Conventional,160,3.218158656074887
Conventional,161,3.1974787372918354
Conventional,162,3.1759486593660853
Conventional,163,3.1662917273385185
Conventional,164,3.1525456786865282
Conventional,165,3.1323035550614198
Conventional,166,3.1246975347399717
Conventional,167,3.127104514624391
Conventional,168,3.1295587089444914
Conventional,169,3.1379276637342715
Conventional,170,3.138300069173177
Conventional,171,3.1244123338411254
Conventional,172,3.1136018711186586
Conventional,173,3.115814478535737
Conventional,174,3.1219799490202043
Conventional,175,3.111402012691611
Conventional,176,3.10369063410021
Conventional,177,3.1107262403837277
Conventional,178,3.1151023735602696
Conventional,179,3.1053982335719326
Conventional,180,3.0921608040907556
Conventional,181,3.0800587670079302
Conventional,182,3.0719659210670565
Conventional,183,3.0730794752637545
Conventional,184,3.0596168148375695
Conventional,185,3.05610899719454
Conventional,186,3.0853068689682654
Conventional,187,3.0969402201651106
Conventional,188,3.0999248743057253
Conventional,189,3.097283563780643
Conventional,190,3.0939483272887407
Conventional,191,3.0925513751982225
Conventional,192,3.0864004264097837
Conventional,193,3.086511258958351
Conventional,194,3.0738115633704837
Conventional,195,3.0600891376889883
Conventional,196,3.0565613363470354
Conventional,197,3.057455091213896
Conventional,198,3.0555040885295193
Conventional,199,3.0639511611312624
Conventional,200,3.0755881600614106
Conventional,201,3.0864676536903497
Conventional,202,3.0932543883011454
Conventional,203,3.086685652729301
Conventional,204,3.071586243879228
Conventional,205,3.060777614815604
Conventional,206,3.0533260047790547
Conventional,207,3.0508100483743914
Conventional,208,3.061956580675074
Conventional,209,3.0810015676277023
Conventional,210,3.0985606169771582
Conventional,211,3.092747572862676
Conventional,212,3.0808580697114976
Conventional,213,3.0571789739387376
Conventional,214,3.0411712922333254
Conventional,215,3.025394296858992
Conventional,216,3.0313036319223188
Conventional,217,3.0185966760629697
Conventional,218,3.021425093923296
Conventional,219,3.046301299794799
Conventional,220,3.052755600639752
Conventional,221,3.0486374254560182
Conventional,222,3.0548155993223194
Conventional,223,3.05045036872228
Conventional,224,3.0334036055597524
Conventional,225,3.0300919859537054
Conventional,226,3.0406971527707007
Conventional,227,3.038637159268061
Conventional,228,3.02503644586319
Conventional,229,3.0174631222195565
Conventional,230,3.0097699142460312
Conventional,231,2.9961928191284337
Conventional,232,2.986557683224479
Conventional,233,2.9905705037216346
Conventional,234,3.00286146606363
Conventional,235,3.012527489786347
Conventional,236,3.012830839040024
Conventional,237,3.0077644159396493
Conventional,238,3.019437759121259
Conventional,239,2.8021713915094733
VR,0,2.3379613916747846
VR,1,2.337471333776529
VR,2,2.3428898316879687
VR,3,2.347231388178009
VR,4,2.3546335833577006
VR,5,2.36206807454045
VR,6,2.359155616135552
VR,7,2.354303460424909
VR,8,2.355516866651865
VR,9,2.3638713081582234
VR,10,2.3767184307368905
VR,11,2.38603978138417
VR,12,2.387442454838982
VR,13,2.3962810842750164
VR,14,2.408384312975865
VR,15,2.4079808278152575
VR,16,2.402483095644185
VR,17,2.3970352496378697
VR,18,2.3979053108021615
VR,19,2.39985086985219
VR,20,2.3919292589219716
VR,21,2.3912910141337376
VR,22,2.3980916555111227
VR,23,2.389071087868741
VR,24,2.3797937517842422
VR,25,2.375667881550124
VR,26,2.3777513628968827
VR,27,2.3852900256617713
VR,28,2.3787637475018317
VR,29,2.3609397719399285
VR,30,2.3605817642349463
VR,31,2.36535468302094
VR,32,2.3622235987622004
VR,33,2.3567918967312345
VR,34,2.3509244094817685
VR,35,2.339968570250158
VR,36,2.332287589002114
VR,37,2.333726934458201
VR,38,2.3358500397549227
VR,39,2.335499366559088
VR,40,2.33593953863646
VR,41,2.3377163591006624
VR,42,2.33580455380277
VR,43,2.3334393578509873
VR,44,2.3332735593215777
VR,45,2.3326382495892735
VR,46,2.3297199269613396
VR,47,2.329226929321885
VR,48,2.3292239976617006
VR,49,2.329960549536806
VR,50,2.3314204439090997
VR,51,2.330262792683565
VR,52,2.3257627887794605
VR,53,2.3193069415596814
VR,54,2.3150871793094736
VR,55,2.3130565163894343
VR,56,2.313715311053854
VR,57,2.315401163038153
VR,58,2.30813688819225
VR,59,2.293530544352073
VR,60,2.290643019974232
VR,61,2.298599849211482
VR,62,2.3031394814069452
VR,63,2.299907164218334
VR,64,2.2992762433794827
VR,65,2.2986688128171058
VR,66,2.29719570633024
VR,67,2.305403426819696
VR,68,2.306847181113867
VR,69,2.29718983402619
VR,70,2.2874312405402843
VR,71,2.2815784288713563
VR,72,2.2747733959211756
VR,73,2.2666992043646483
VR,74,2.2619028114355526
VR,75,2.2597665115044667
VR,76,2.2597357031817618
VR,77,2.263650284277705
VR,78,2.2709145668607493
VR,79,2.289709867221805
VR,80,2.2995872931984755
VR,81,2.2840932750358034
VR,82,2.27390185680527
VR,83,2.26771453372561
VR,84,2.2632145136021653
VR,85,2.2567395923229365
VR,86,2.248693280552442
VR,87,2.2468152187478085
VR,88,2.2515059699662605
VR,89,2.257134300613633
VR,90,2.2567293356674223
VR,91,2.249563352075907
VR,92,2.2455695329520564
VR,93,2.250302833232742
VR,94,2.2553765368719514
VR,95,2.2489720657754404
VR,96,2.2418765056161924
VR,97,2.235898982360959
VR,98,2.231231703609228
VR,99,2.230738706858112
VR,100,2.228388201789214
VR,101,2.2262489778921006
VR,102,2.2239366063131736
VR,103,2.224009966850281
VR,104,2.229695509001613
VR,105,2.233595424790222
VR,106,2.235612874463774
VR,107,2.234846973619782
VR,108,2.2325800881362876
VR,109,2.2268886752569905
VR,110,2.221732807216736
VR,111,2.218818883282634
VR,112,2.215282847245152
VR,113,2.213510426047903
VR,114,2.208188752543468
VR,115,2.202645532013132
VR,116,2.1983861558139326
VR,117,2.192844406085519
VR,118,2.190716916150772
VR,119,2.193978577436736
VR,120,2.195960821526555
VR,121,2.1918011927547365
VR,122,2.1864193881360383
VR,123,2.182918565906584
VR,124,2.179612884742136
VR,125,2.177149377304774
VR,126,2.17533588042626
VR,127,2.174963191953989
VR,128,2.177409083324556
VR,129,2.179027449855438
VR,130,2.1788220316171647
VR,131,2.1769571936617678
VR,132,2.1699393902833646
VR,133,2.1614572967760837
VR,134,2.154427752787104
VR,135,2.1528196742328314
VR,136,2.1509533518495467
VR,137,2.146328629524662
VR,138,2.1441923250515873
VR,139,2.142855680662279
VR,140,2.1420985779223534
VR,141,2.1414045786485074
VR,142,2.1416114534036472
VR,143,2.13927854484377
VR,144,2.1367886424064637
VR,145,2.1339789043538846
VR,146,2.131270382610651
VR,147,2.1275230584809415
VR,148,2.1269302857466617
VR,149,2.127793033163135
VR,150,2.122597542605721
VR,151,2.1166126874776987
VR,152,2.1139540585187766
VR,153,2.112868305037801
VR,154,2.112657023278566
VR,155,2.1109286281924984
VR,156,2.106393400866252
VR,157,2.103835998332271
VR,158,2.105162380893643
VR,159,2.1074923555438336
VR,160,2.1018317519042355
VR,161,2.092919765269527
VR,162,2.089939815708651
VR,163,2.089473224015763
VR,164,2.0871667321198264
VR,165,2.083055523954905
VR,166,2.0825082682073117
VR,167,2.081450383608731
VR,168,2.075505143805192
VR,169,2.071950017574888
VR,170,2.073370322054968
VR,171,2.0745939790629424
VR,172,2.0756298584433703
VR,173,2.0729154579341413
VR,174,2.0751045825962837
VR,175,2.0758352709934114
VR,176,2.0752835880821716
VR,177,2.0732382644540985
VR,178,2.070793837882005
VR,179,2.0720732800949078
VR,180,2.0748346139318667
VR,181,2.0787037178444177
VR,182,2.0839652235691366
VR,183,2.0867133532149285
VR,184,2.0828486447437453
VR,185,2.075371641708681
VR,186,2.0680149079372105
VR,187,2.064594763746628
VR,188,2.0623396214097736
VR,189,2.0600595507627495
VR,190,2.0579863468614907
VR,191,2.0568008163227485
VR,192,2.052777643315494
VR,193,2.0475410846133646
VR,194,2.043993310845242
VR,195,2.0402606734289574
VR,196,2.035688769931977
VR,197,2.0322011347000415
VR,198,2.0300399003693688
VR,199,2.0286841809463043
VR,200,2.0252127033300122
VR,201,2.0222679554556424
VR,202,2.022087476746394
VR,203,2.0221315059524314
VR,204,2.0236882381714305
VR,205,2.024822405525125
VR,206,2.021752943069889
VR,207,2.015966173232748
VR,208,2.01262086721567
VR,209,2.0130991821678785
VR,210,2.013932589011697
VR,211,2.0119987703286686
VR,212,2.0131798841345767
VR,213,2.0119224659238872
VR,214,2.0079902770140996
VR,215,2.0063352227210998
VR,216,2.0026832830160854
VR,217,1.997404169090665
VR,218,1.9943948648010308
VR,219,1.9939987142785236
VR,220,1.9995081810423962
VR,221,2.002652471140027
VR,222,2.0024925467773125
VR,223,2.0025761775099316
VR,224,2.0016606281010003
VR,225,2.002226966877396
VR,226,2.0004134666461213
VR,227,1.995961360756719
VR,228,1.9843852110505105
VR,229,1.9825165639162063
VR,230,1.9609636535557609
VR,231,1.9613578499294817
VR,232,1.9612879083802304
VR,233,1.9631626161426832
VR,234,1.9547536708738493
VR,235,1.9513850198167821
VR,236,1.9458850415504496
VR,237,1.9426275263985862
VR,238,1.9405824522609296
VR,239,1.9384959195942983
