group,sec,PVA_mean
conventional,0,0.5689865827560425
conventional,1,3.366038689159212
conventional,2,7.789580745072592
conventional,3,9.209285342125664
conventional,4,12.519390698273975
conventional,5,15.352113580136072
conventional,6,19.68530146337691
conventional,7,21.39447059517815
conventional,8,23.185882806777954
conventional,9,23.830949408099766
conventional,10,22.847142351809
conventional,11,23.93956047126225
conventional,12,22.698732403346472
conventional,13,22.912843659378233
conventional,14,23.14861338252113
conventional,15,23.98880750792367
conventional,16,25.183876879442305
conventional,17,24.51721017814818
conventional,18,25.063346757207597
conventional,19,24.260073415438335
conventional,20,25.215972129503886
conventional,21,25.42423969109853
conventional,22,25.175504296734218
conventional,23,24.605122420333682
conventional,24,24.837490473474777
conventional,25,25.766207374845234
conventional,26,24.285946990194777
conventional,27,25.10250575031553
conventional,28,24.399238152731034
conventional,29,23.92894928455353
conventional,30,25.407988755475905
conventional,31,25.885487260137285
conventional,32,24.92008257366362
conventional,33,25.61835008291971
conventional,34,26.33542635667892
conventional,35,25.749142222177415
conventional,36,26.853770548389072
conventional,37,26.072707727977207
conventional,38,26.23387999761672
conventional,39,25.763183837277545
conventional,40,25.77614983490535
conventional,41,27.108465380895705
conventional,42,25.429472773415704
conventional,43,25.101081455889204
conventional,44,24.339874381678445
conventional,45,25.70469201519376
conventional,46,25.497238218216665
conventional,47,25.008314436957953
conventional,48,26.998924289998556
conventional,49,28.231118037019456
conventional,50,29.269347084703902
conventional,51,29.635153040431792
conventional,52,30.253764486312868
conventional,53,27.489941104820797
conventional,54,24.97092832610721
conventional,55,23.853828899917147
conventional,56,24.0455260407357
conventional,57,25.33638604311716
conventional,58,26.538810262793586
conventional,59,26.96229437873477
conventional,60,26.90604117143722
conventional,61,26.936333499635968
conventional,62,27.578434813590277
conventional,63,27.117448679038457
conventional,64,26.506453650338308
conventional,65,26.773358780429476
conventional,66,26.280364938577016
conventional,67,26.702569826443987
conventional,68,26.875137727033525
conventional,69,26.98159781126749
conventional,70,26.85859643845331
conventional,71,26.9076690969013
conventional,72,27.266033005146753
conventional,73,27.124048003696263
conventional,74,27.079248798461187
conventional,75,27.577766239075437
conventional,76,27.788069283394584
conventional,77,26.674544959976558
conventional,78,26.34531082652864
conventional,79,27.85414864619573
conventional,80,27.361387532665617
conventional,81,28.625065415813808
conventional,82,28.814582347869873
conventional,83,30.306733296598708
conventional,84,32.38766784895034
conventional,85,32.824350529625306
conventional,86,30.433339318774994
conventional,87,29.420634781746635
conventional,88,29.389440931025007
conventional,89,29.89194124142329
conventional,90,28.222222210112072
conventional,91,27.601459400994436
conventional,92,28.96232337043399
conventional,93,29.761672302087145
conventional,94,30.275713827496485
conventional,95,27.939676469848273
conventional,96,27.349991052491326
conventional,97,27.28888276701882
conventional,98,26.897639322280888
conventional,99,27.298680318537215
conventional,100,27.25946261031287
conventional,101,27.704604874338422
conventional,102,28.362201230866567
conventional,103,29.41339612915402
conventional,104,29.98406876722972
conventional,105,29.627071332363855
conventional,106,29.56325923090889
conventional,107,29.601691729114172
conventional,108,30.01555321557181
conventional,109,28.798825277600972
conventional,110,29.16021254516783
conventional,111,31.529769066969553
conventional,112,29.750014550912947
conventional,113,28.75635221174785
conventional,114,28.02575734626679
conventional,115,27.600645326432726
conventional,116,27.676405413377854
conventional,117,28.499244018963406
conventional,118,30.488051249867393
conventional,119,30.40711656411489
conventional,120,28.82801313400269
conventional,121,29.108262048448836
conventional,122,30.68628962664377
conventional,123,32.02052409592129
conventional,124,31.742223058428085
conventional,125,30.397435645830065
conventional,126,30.523809394382294
conventional,127,31.416361439795722
conventional,128,31.627216682547616
conventional,129,32.04040918747584
conventional,130,32.41926833902087
conventional,131,30.601779493831454
conventional,132,27.889848261787776
conventional,133,27.082388655344648
conventional,134,28.179225548676083
conventional,135,28.683150310743425
conventional,136,29.878103290285384
conventional,137,30.794581019878386
conventional,138,30.633321671258834
conventional,139,30.201319767179946
conventional,140,29.962497829255604
conventional,141,30.47764427888961
conventional,142,32.45895117350987
conventional,143,35.67373071057456
conventional,144,34.31440777381262
conventional,145,33.111518044131145
conventional,146,32.666230332283746
conventional,147,32.84426391805921
conventional,148,30.696464604990823
conventional,149,32.84961309716815
conventional,150,34.06825967970349
conventional,151,33.56575967641104
conventional,152,33.66067790190379
conventional,153,31.704779375734784
conventional,154,31.82891411440713
conventional,155,30.41566347054073
conventional,156,31.33769363732565
conventional,157,31.37467275063197
conventional,158,31.059654634907133
conventional,159,31.298098535764787
conventional,160,31.581574829419456
conventional,161,31.547677336420332
conventional,162,31.46549188636598
conventional,163,31.899063766570322
conventional,164,30.571573895499817
conventional,165,30.441857451200484
conventional,166,32.06936490308671
conventional,167,32.26937645276388
conventional,168,31.945287862845834
conventional,169,32.711495155379886
conventional,170,32.62617016519819
conventional,171,31.744578182697296
conventional,172,30.368713502656846
conventional,173,30.594482292447772
conventional,174,30.451712254683176
conventional,175,29.76132313694273
conventional,176,29.018663971197036
conventional,177,31.19533125048592
conventional,178,30.519914106527967
conventional,179,29.794871909845444
conventional,180,29.008837879271738
conventional,181,28.60090723775682
conventional,182,28.776557022049317
conventional,183,29.764201500302267
conventional,184,29.45110190822965
conventional,185,28.095121878669374
conventional,186,27.071137833311447
conventional,187,27.84100796949296
conventional,188,31.272544973237174
conventional,189,30.808245069640023
conventional,190,28.169341233798438
conventional,191,28.509360846451354
conventional,192,29.752834521588824
conventional,193,30.071399428447087
conventional,194,30.656578696057913
conventional,195,30.192162067549567
conventional,196,29.713093477203728
conventional,197,28.46592816568556
conventional,198,27.105005994297212
conventional,199,27.320192863259997
conventional,200,27.688731972376505
conventional,201,29.129949621359508
conventional,202,28.448078205471948
conventional,203,28.158613856633504
conventional,204,28.434996184848604
conventional,205,28.54410161631448
conventional,206,29.18637729315531
conventional,207,30.059015367144628
conventional,208,30.531048576604753
conventional,209,31.447991258757458
conventional,210,31.808564504555296
conventional,211,32.57558570646104
conventional,212,32.95235195841108
conventional,213,30.133670809155422
conventional,214,29.628903101171765
conventional,215,29.587592118127006
conventional,216,28.7175709713073
conventional,217,29.335862605912347
conventional,218,29.138438259987602
conventional,219,29.98063822189967
conventional,220,29.58369671163105
conventional,221,29.753241198403494
conventional,222,29.362230369022914
conventional,223,25.869847192366915
conventional,224,25.38127214028722
conventional,225,25.734374046325684
conventional,226,27.988894855976106
conventional,227,26.405110490889776
conventional,228,27.703587158804847
conventional,229,26.703412799608138
conventional,230,25.958253163950786
conventional,231,24.413832072984604
conventional,232,23.87621374470847
conventional,233,25.550177570184072
conventional,234,27.859236367543538
conventional,235,27.16908007746651
conventional,236,27.50002930675234
conventional,237,29.793185885747274
conventional,238,31.765277155240376
conventional,239,32.789347007870674
vr_high,0,0.6520146369934082
vr_high,1,4.871306438446045
vr_high,2,9.205372363328934
vr_high,3,13.846031775474549
vr_high,4,15.700854811668396
vr_high,5,15.978876737356185
vr_high,6,15.868681321144104
vr_high,7,14.817399342060089
vr_high,8,13.454273459911345
vr_high,9,13.92124543905258
vr_high,10,15.7859583735466
vr_high,11,18.248290491104125
vr_high,12,19.000305194854736
vr_high,13,19.750610659122465
vr_high,14,19.23125759124756
vr_high,15,16.839682712554932
vr_high,16,15.081379630565644
vr_high,17,14.52271066427231
vr_high,18,14.786324784755706
vr_high,19,15.98144095301628
vr_high,20,13.168803523778914
vr_high,21,13.261111099720003
vr_high,22,13.915689759254457
vr_high,23,14.081929060816766
vr_high,24,16.650732523798943
vr_high,25,17.6026251578331
vr_high,26,17.686935443878173
vr_high,27,19.626373937129976
vr_high,28,20.124725611209872
vr_high,29,21.97429824948311
vr_high,30,21.874114978313447
vr_high,31,21.69426159977913
vr_high,32,22.095604646205903
vr_high,33,21.407875795364383
vr_high,34,21.74713091015816
vr_high,35,16.52374863743782
vr_high,36,13.552503246068955
vr_high,37,14.203418858051299
vr_high,38,14.103601838350297
vr_high,39,13.80708195090294
vr_high,40,13.718376049995422
vr_high,41,13.869657933712006
vr_high,42,13.912515155673026
vr_high,43,13.682295472621917
vr_high,44,13.233455350399018
vr_high,45,13.031318733692169
vr_high,46,13.244688705801963
vr_high,47,13.388034185767173
vr_high,48,13.170451706647873
vr_high,49,13.46025627017021
vr_high,50,13.752441961765289
vr_high,51,14.038705689907072
vr_high,52,14.580280947685242
vr_high,53,13.551221068501473
vr_high,54,13.72258856654167
vr_high,55,13.659646008014679
vr_high,56,13.852320353388787
vr_high,57,13.519413838386535
vr_high,58,13.06514039516449
vr_high,59,13.151892621517183
vr_high,60,13.790048759579657
vr_high,61,14.284066064357756
vr_high,62,14.420695979595184
vr_high,63,14.119230934381486
vr_high,64,14.032661890983581
vr_high,65,13.635347927212715
vr_high,66,14.139682523012164
vr_high,67,15.814590941667557
vr_high,68,14.51373619735241
vr_high,69,14.447191543579104
vr_high,70,14.530708118081094
vr_high,71,14.959035558104514
vr_high,72,14.37496954858303
vr_high,73,14.130036536455156
vr_high,74,14.020757175683974
vr_high,75,13.500671665668488
vr_high,76,13.747680020332336
vr_high,77,14.489621458053588
vr_high,78,15.29053751707077
vr_high,79,15.611111134290695
vr_high,80,15.377961086034777
vr_high,81,15.000366399288177
vr_high,82,14.792856948375704
vr_high,83,15.031013370752337
vr_high,84,14.304090589284897
vr_high,85,13.875641102790832
vr_high,86,14.718681453466417
vr_high,87,14.78894996702671
vr_high,88,15.305433585047723
vr_high,89,15.489438476562501
vr_high,90,14.983333557844162
vr_high,91,14.39786337852478
vr_high,92,14.160622779726982
vr_high,93,14.30811975479126
vr_high,94,14.211965700984
vr_high,95,14.78791204571724
vr_high,96,14.904090369939805
vr_high,97,13.874969540238379
vr_high,98,13.920756927728652
vr_high,99,13.905433315038682
vr_high,100,14.151709134578704
vr_high,101,15.124602966308595
vr_high,102,15.497924264669418
vr_high,103,15.43064691722393
vr_high,104,17.88992651343346
vr_high,105,16.918131785392763
vr_high,106,13.173626254796982
vr_high,107,12.83217320382595
vr_high,108,12.924419961571692
vr_high,109,13.02460318684578
vr_high,110,12.648779088854791
vr_high,111,12.84621498167515
vr_high,112,13.850549421310427
vr_high,113,14.790110091567039
vr_high,114,15.203785107731818
vr_high,115,15.688950096964836
vr_high,116,15.407875534296036
vr_high,117,14.980158594250678
vr_high,118,15.214590976834296
vr_high,119,15.084493172168731
vr_high,120,14.35012221634388
vr_high,121,14.070329796075821
