group_collapsed,sec,MOTION_mean
Conventional,0,0.17147525655371798
Conventional,1,0.295191632628086
Conventional,2,0.29478964565233107
Conventional,3,0.15136760358831708
Conventional,4,0.19727052856414085
Conventional,5,0.1918394956826454
Conventional,6,0.35425732314054453
Conventional,7,0.24839921703650839
Conventional,8,0.16914889219970924
Conventional,9,0.16549684259863123
Conventional,10,0.08971040804116495
Conventional,11,0.04748519305139776
Conventional,12,0.049195754820747
Conventional,13,0.11916628020505109
Conventional,14,0.07752265643683214
Conventional,15,0.07017579383793329
Conventional,16,0.11453921187314248
Conventional,17,0.04323444713261861
Conventional,18,0.03339871749991459
Conventional,19,0.023545882114697037
Conventional,20,0.027103850068080956
Conventional,21,0.025273549219682067
Conventional,22,0.03450202979147431
Conventional,23,0.024076155919049436
Conventional,24,0.02364851539688448
Conventional,25,0.03222698254422058
Conventional,26,0.0389922538062646
Conventional,27,0.07654763610057885
Conventional,28,0.1267868343474609
Conventional,29,0.07458904288886556
Conventional,30,0.12132158893204867
Conventional,31,0.06566846349409645
Conventional,32,0.04031793915977077
Conventional,33,0.04802401951913319
Conventional,34,0.09907573269059256
Conventional,35,0.10607192940300417
Conventional,36,0.1469201434048868
Conventional,37,0.08101220178816997
Conventional,38,0.0401639886732612
Conventional,39,0.03747840694905743
Conventional,40,0.056320244127086194
Conventional,41,0.07498247232288116
Conventional,42,0.0641631693002723
Conventional,43,0.035040856525301894
Conventional,44,0.025153809874540252
Conventional,45,0.057355133364243145
Conventional,46,0.03146578257992151
Conventional,47,0.06951722676555312
Conventional,48,0.04771611849289562
Conventional,49,0.04105348051303906
Conventional,50,0.03830802965731844
Conventional,51,0.03818828983321075
Conventional,52,0.03112366988013186
Conventional,53,0.036058640559869126
Conventional,54,0.01769576093980241
Conventional,55,0.024974200892306488
Conventional,56,0.04343116196493306
Conventional,57,0.027634124032088668
Conventional,58,0.015412160745334033
Conventional,59,0.027873602660284148
Conventional,60,0.021655711185719267
Conventional,61,0.012230516340406143
Conventional,62,0.013368039764463885
Conventional,63,0.013949630755398925
Conventional,64,0.022382700061869015
Conventional,65,0.02699266367015381
Conventional,66,0.034288209508217475
Conventional,67,0.03410004749894139
Conventional,68,0.02683871288207313
Conventional,69,0.035451391348171775
Conventional,70,0.0229557381055894
Conventional,71,0.01972277677130128
Conventional,72,0.03728169197482719
Conventional,73,0.012512758995095857
Conventional,74,0.027822286325196396
Conventional,75,0.03646917532065082
Conventional,76,0.052633983473337795
Conventional,77,0.02231427746869266
Conventional,78,0.0740245583777626
Conventional,79,0.053035964843417896
Conventional,80,0.03421978704808721
Conventional,81,0.02017607541666141
Conventional,82,0.032714492419645864
Conventional,83,0.029430214022951446
Conventional,84,0.030918402854530562
Conventional,85,0.027163719926916383
Conventional,86,0.02559000324635275
Conventional,87,0.01745628227612798
Conventional,88,0.010742327686221806
Conventional,89,0.026043301847364194
Conventional,90,0.0681658837057295
Conventional,91,0.04936681063402263
Conventional,92,0.06648098030792811
Conventional,93,0.04102782235436493
