participant,group,SCL_mean_0to240
100,conventional,6.4266327396097545
101,vr_high,1.5608515220259627
102,vr_high,2.2450448722764853
103,conventional,0.383517685647433
104,vr_high,4.284324105853836
105,conventional,2.2684269763777656
106,vr_low,1.3890985986714561
107,conventional,1.4492979445743066
108,conventional,0.8422628593506912
109,vr_low,1.6290551469723382
110,vr_low,0.9722335612525543
111,vr_low,6.77010248546799
112,vr_high,0.42899709736617897
113,vr_high,1.9843371684352558
114,conventional,1.8250404050201179
115,vr_low,3.62330940062801
116,vr_high,0.6149129961431026
117,conventional,6.8041736957927546
118,conventional,7.725709652950367
119,conventional,0.5542507817782462
120,vr_low,4.282014867986242
121,vr_low,1.2910667882611355
122,vr_low,2.547085981980614
123,conventional,0.23481195483356707
124,vr_low,2.410742720225968
125,conventional,1.0473090948474904
126,vr_low,2.3059847141544294
127,vr_low,2.1721474407613277
128,vr_low,0.8086370239593088
129,vr_low,0.5074541467304031
130,vr_high,3.006177932471037
131,conventional,2.2818263551965354
132,vr_low,0.23161228084471072
133,vr_high,3.3024125213424367
134,conventional,3.2944972578932843
135,vr_high,5.157413841585319
136,conventional,1.3881321800748507
137,vr_low,0.6964069543530544
138,conventional,0.8511609112657607
139,vr_low,1.4872912640621265
140,vr_high,1.1986065130804977
141,conventional,1.8872927599648635
142,conventional,5.259280330687761
143,conventional,2.1153412092104555
144,conventional,3.6337635819613934
145,conventional,12.652464115719
146,conventional,2.0406080618624887
