group,sec,SCL_mean
conventional,0,3.371198548842221
conventional,1,3.437247318727896
conventional,2,3.485805086186156
conventional,3,3.468967448361218
conventional,4,3.3790618201717733
conventional,5,3.357050353381783
conventional,6,3.3757762973196805
conventional,7,3.3905825525522233
conventional,8,3.3760433588176966
conventional,9,3.351709612738341
conventional,10,3.3299365628510715
conventional,11,3.3143721285276113
conventional,12,3.2987170735374094
conventional,13,3.297744297794998
conventional,14,3.292866103351116
conventional,15,3.2903530910611156
conventional,16,3.3076914183795454
conventional,17,3.3008199973031878
conventional,18,3.274464398995042
conventional,19,3.253525855205953
conventional,20,3.238981843367219
conventional,21,3.223384049534798
conventional,22,3.208263077400625
conventional,23,3.2000373914837836
conventional,24,3.1996559275314214
conventional,25,3.2062126350589097
conventional,26,3.246249083057046
conventional,27,3.2749603267759086
conventional,28,3.2681270404718816
conventional,29,3.2636446388438345
conventional,30,3.25583857037127
conventional,31,3.24925325056538
conventional,32,3.269567135069519
conventional,33,3.277897723391652
conventional,34,3.258752144314349
conventional,35,3.2363687258213756
conventional,36,3.2213622089475393
conventional,37,3.2204800224862993
conventional,38,3.2194309261627496
conventional,39,3.2164935284294187
conventional,40,3.2308324534446
conventional,41,3.2620138147845865
conventional,42,3.2682700896635652
conventional,43,3.2352052085101604
conventional,44,3.201725414581597
conventional,45,3.185116689279676
conventional,46,3.2327398627996446
conventional,47,3.240245520882308
conventional,48,3.2231408560648562
conventional,49,3.2182626420632
conventional,50,3.1953689962625504
conventional,51,3.189169930201024
conventional,52,3.181258958671242
conventional,53,3.1813400272279977
conventional,54,3.186842898093164
conventional,55,3.175942065566778
conventional,56,3.1770769780501724
conventional,57,3.216288488171995
conventional,58,3.248547501116991
conventional,59,3.2422149039804937
conventional,60,3.2228547401726244
conventional,61,3.2046580728143454
conventional,62,3.2018780512735248
conventional,63,3.2343945551663635
conventional,64,3.2279952060431243
conventional,65,3.1913396039977666
conventional,66,3.171268921159208
conventional,67,3.1585226994007827
conventional,68,3.1568823216482995
conventional,69,3.1803433945402504
conventional,70,3.2428586829453705
conventional,71,3.3189594281837347
conventional,72,3.3624435480684043
conventional,73,3.35764641687274
conventional,74,3.3403462363407015
conventional,75,3.304520370066166
conventional,76,3.2721469001844525
conventional,77,3.244613462127745
conventional,78,3.220928252488375
conventional,79,3.221881956793368
conventional,80,3.2223492735996846
conventional,81,3.211200468055904
conventional,82,3.2257349186576905
conventional,83,3.2477511636912824
conventional,84,3.25271520037204
conventional,85,3.2462347850203512
conventional,86,3.2606166257523
conventional,87,3.2959036557003856
conventional,88,3.3209574395790695
conventional,89,3.320862060319632
conventional,90,3.3255113707855344
conventional,91,3.3225835120305423
conventional,92,3.32959322091192
conventional,93,3.346597775630653
conventional,94,3.3585715067572894
conventional,95,3.40145955150947
conventional,96,3.4265753412619233
conventional,97,3.3951889494434
conventional,98,3.3670165558345615
conventional,99,3.3710125744342805
conventional,100,3.3884558010846377
conventional,101,3.3881983145140113
conventional,102,3.3549331245943907
conventional,103,3.313222898170352
conventional,104,3.2861901947297154
conventional,105,3.2729575518518685
conventional,106,3.2648749027401207
conventional,107,3.2558814780786633
conventional,108,3.248008680902421
conventional,109,3.236301962286234
conventional,110,3.223632000759244
conventional,111,3.2149342264048757
conventional,112,3.209483823738992
conventional,113,3.2059121891856193
conventional,114,3.216045293956995
conventional,115,3.250493061263114
conventional,116,3.2803678310476245
