group_collapsed,sec,TEMP_mean
VR,43,32.36041359167832
VR,44,32.365509676933286
VR,45,32.37159636204059
VR,46,32.377096201823306
VR,47,32.38242305058699
VR,48,32.388317350240854
VR,49,32.39444221166464
VR,50,32.40050973708813
VR,51,32.40532707801232
VR,52,32.411086779374344
VR,53,32.41592321579273
VR,54,32.421548394056465
VR,55,32.426336532372694
VR,56,32.43171147933373
VR,57,32.4366731606997
VR,58,32.44227886750148
VR,59,32.448384659106914
VR,60,32.4536057802347
VR,61,32.45870221578158
VR,62,32.46433671804575
VR,63,32.47020189395318
VR,64,32.47575971530034
VR,65,32.48289399697231
VR,66,32.49017329949599
VR,67,32.496096414786116
VR,68,32.502432784667384
VR,69,32.50774041689359
VR,70,32.514269375801085
VR,71,32.51722143613375
VR,72,32.523125004768374
VR,73,32.53005785391881
VR,74,32.53580780946291
VR,75,32.540923397357645
VR,76,32.54832718922542
VR,77,32.55501958040091
VR,78,32.56021173550533
VR,79,32.56589417824378
VR,80,32.571615176934465
VR,81,32.578028776095465
VR,82,32.585375220959
VR,83,32.59028855837308
VR,84,32.5962500498845
VR,85,32.60088482269874
VR,86,32.60757708916297
VR,87,32.6132210951585
VR,88,32.618067227877106
VR,89,32.62349991615002
VR,90,32.629028857671294
VR,91,32.634336631114664
VR,92,32.638365558477545
VR,93,32.642759548700774
VR,94,32.64821145901313
VR,95,32.65644249549279
VR,96,32.661875172761775
VR,97,32.66816348112547
VR,98,32.674211485569295
VR,99,32.67989406035497
VR,100,32.68425943301274
VR,101,32.69009601886456
VR,102,32.69718264616453
VR,103,32.703653682195224
VR,104,32.71096122815059
VR,105,32.717057620562045
VR,106,32.72306734415201
VR,107,32.729115594350375
VR,108,32.73499048489791
VR,109,32.74236531991225
VR,110,32.748932645871086
VR,111,32.756028815416194
VR,112,32.7622787805704
VR,113,32.76892311206231
VR,114,32.77670204822834
VR,115,32.78346151572008
VR,116,32.79016359769381
VR,117,32.79802869466635
VR,118,32.8039325769131
VR,119,32.812028751006494
VR,120,32.81843281342433
VR,121,32.826173068926884
VR,122,32.83294255550091
VR,123,32.840653866987964
VR,124,32.84796164585994
VR,125,32.85636558165917
VR,126,32.864471235642064
VR,127,32.87136529959165
VR,128,32.879298023077155
VR,129,32.887932538986206
VR,130,32.89559641251197
VR,131,32.90268285091106
VR,132,32.909778690338136
VR,133,32.91733642724844
VR,134,32.92447085197155
VR,135,32.93313444394332
VR,136,32.939797907609204
VR,137,32.94718243708977
VR,138,32.95466332252209
VR,139,32.96206722076123
VR,140,32.96782662318303
VR,141,32.97500003667978
VR,142,32.98106731268076
VR,143,32.987961475665756
VR,144,32.99413473789509
VR,145,33.000067322070784
VR,146,33.00684608679551
VR,147,33.0135962834725
VR,148,33.021442064872154
VR,149,33.027740258436936
VR,150,33.03320187421945
VR,151,33.04030797298138
VR,152,33.04692305418161
VR,153,33.053904089560874
VR,154,33.06095205453726
VR,155,33.06675012478461
VR,156,33.073711424607495
VR,157,33.07946155071259
VR,158,33.08478842515212
VR,159,33.091576974208536
VR,160,33.09846174166753
VR,161,33.10473079864796
VR,162,33.110346155900224
VR,163,33.11676919276898
VR,164,33.12300952764657
VR,165,33.12987503088438
VR,166,33.13599005845877
VR,167,33.142115167471076
VR,168,33.147413396835326
VR,169,33.15329795800723
VR,170,33.159394308236934
VR,171,33.16539435570057
VR,172,33.17244235185477
VR,173,33.17857721035297
VR,174,33.18520198601943
VR,175,33.19125007115878
VR,176,33.197740648343014
VR,177,33.204500136008626
VR,178,33.21069254324986
VR,179,33.21665408978095
VR,180,33.22274040258848
VR,181,33.22992300253648
VR,182,33.23472109941336
VR,183,33.24098091125489
VR,184,33.24694235508259
VR,185,33.252644166579614
VR,186,33.25773057020628
VR,187,33.26509602253254
VR,188,33.271249972856964
VR,189,33.27755773617671
VR,190,33.28364454966325
VR,191,33.28826946662022
VR,192,33.29397118274982
VR,193,33.292576912733225
VR,194,33.29667296409607
VR,195,33.30461512345534
VR,196,33.32148069785192
VR,197,33.33052868843079
VR,198,33.33761553580944
VR,199,33.34476935129899
VR,200,33.35345190121578
VR,201,33.36096124832447
VR,202,33.36883636071132
VR,203,33.37554798126221
VR,204,33.38206695960118
VR,205,33.389615278977615
VR,206,33.39775970715743
VR,207,33.40459611782661
VR,208,33.41168261491335
VR,209,33.41891350562756
VR,210,33.425663469387935
VR,211,33.433452191719645
VR,212,33.440529126387375
VR,213,33.44797107623174
VR,214,33.45482687766735
VR,215,33.46139424580794
VR,216,33.46903840211722
VR,217,33.475903965876654
VR,218,33.48348076343537
VR,219,33.491307599727925
VR,220,33.49830760405614
VR,221,33.50587505377256
VR,222,33.51244204961336
VR,223,33.519095844488874
VR,224,33.52693273654351
VR,225,33.533903624461246
VR,226,33.53899975739993
VR,227,33.545788471515365
VR,228,33.48418011283874
VR,229,33.49209605560303
VR,230,33.58732287486394
VR,231,33.593270627657574
VR,232,33.59904174407323
VR,233,33.60440628131231
VR,234,33.56267370555712
VR,235,33.56903235808663
VR,236,33.57447806441266
VR,237,33.58096732056659
VR,238,33.58708680194357
VR,239,33.59321744338326
