participant,group,PVA_mean_0to240
100,conventional,45.39866719275838
101,vr_high,11.216025686239202
102,vr_high,33.617607941826186
103,conventional,17.684493296245737
104,vr_high,6.805397815058629
105,conventional,14.950175546854734
106,vr_low,18.32752842783928
107,conventional,6.797901452804606
108,conventional,10.105558098728459
109,vr_low,47.6339005485177
110,vr_low,26.210864347815512
111,vr_low,14.688057095011077
112,vr_high,38.298122753898305
113,vr_high,26.39996183315913
114,conventional,31.394314729968706
115,vr_low,6.492089048686127
116,vr_high,5.215053975457947
117,conventional,59.13135931829611
118,conventional,37.676197958787284
119,conventional,22.373916306793692
120,vr_low,7.058786134632925
121,vr_low,15.546565911670525
122,vr_low,40.43425432350325
123,conventional,41.81302397062381
124,vr_low,23.193489542883686
125,conventional,23.54115021685759
126,vr_low,45.18812653365524
127,vr_low,25.283887866139413
128,vr_low,13.924648904179532
129,vr_low,38.84443162272374
130,vr_high,6.039298463190595
131,conventional,44.1068934678038
132,vr_low,30.447990448176864
133,vr_high,3.0581095554555455
134,conventional,21.01069647823771
135,vr_high,4.256265295197567
136,conventional,31.495177168448766
137,vr_low,7.088372570971647
138,conventional,67.2906490170459
139,vr_low,10.289924192180235
140,vr_high,19.453365364869438
141,conventional,18.9649470949173
142,conventional,6.599956770588955
143,conventional,25.488723536754648
144,conventional,20.19766996860504
145,conventional,26.847931871265175
146,conventional,14.658178170025348
