subject_id,session_type,method,signal,epoch,duration_s,HR_est_bpm,peak_count,HR_mean,HR_std,Motion_mean,Motion_p95,PVA_mean,PVA_std,SCL_mean,SCL_slope_per_min,SCR_pos_area,SCR_mean
subj10,stress,,BVP,0,59.975,133.0554397665694,133.0,,,,,,,,,,
subj10,stress,,BVP,1,59.974999999999994,120.0500208420175,120.0,,,,,,,,,,
subj10,stress,,BVP,2,59.974999999999994,124.0516882034181,124.0,,,,,,,,,,
subj10,stress,,BVP,3,59.974999999999994,109.04543559816591,109.0,,,,,,,,,,
subj10,stress,,BVP,4,59.97500000000002,111.04626927886615,111.0,,,,,,,,,,
subj10,stress,,BVP,5,0.0,,,,,,,,,,,,
subj10,stress,,HR,0,59.975,,,84.27234926064808,18.94113040270067,,,,,,,,
subj10,stress,,HR,1,59.974999999999994,,,86.35546059926351,5.204648409047227,,,,,,,,
subj10,stress,,HR,2,59.974999999999994,,,84.83479229132334,8.477652186816153,,,,,,,,
subj10,stress,,HR,3,59.974999999999994,,,83.76310077349345,7.0566373204569395,,,,,,,,
subj10,stress,,HR,4,59.97500000000002,,,84.81134531656902,10.561937742242907,,,,,,,,
subj10,stress,,HR,5,0.0,,,97.32360076904297,,,,,,,,,
subj10,stress,,MOTION,0,59.975,,,,,0.20007242672766248,0.7040671706199646,,,,,,
subj10,stress,,MOTION,1,59.974999999999994,,,,,0.024783045627797644,0.15805590152740479,,,,,,
subj10,stress,,MOTION,2,59.974999999999994,,,,,0.04989537414473792,0.1939776986837387,,,,,,
subj10,stress,,MOTION,3,59.974999999999994,,,,,0.03893024611907701,0.16595869362353888,,,,,,
subj10,stress,,MOTION,4,59.97500000000002,,,,,0.03490401115889351,0.1939776986837387,,,,,,
subj10,stress,,MOTION,5,0.0,,,,,0.0,,,,,,,
subj10,stress,,PVA,0,59.975,,,,,,,18.556471294959387,6.039227218379102,,,,
subj10,stress,,PVA,1,59.974999999999994,,,,,,,19.820512992938358,4.853097487224468,,,,
subj10,stress,,PVA,2,59.974999999999994,,,,,,,17.66530334750811,3.280758026897995,,,,
subj10,stress,,PVA,3,59.974999999999994,,,,,,,20.100488534768424,3.310363947078827,,,,
subj10,stress,,PVA,4,59.97500000000002,,,,,,,20.748799305756886,4.056403607819466,,,,
subj10,stress,,PVA,5,0.0,,,,,,,20.854700088500977,,,,,
subj10,stress,,SCL,0,59.975,,,,,,,,,0.7636519475032886,0.03865293347807198,,
subj10,stress,,SCL,1,59.974999999999994,,,,,,,,,0.8865639717380206,0.12166489540907864,,
subj10,stress,,SCL,2,59.974999999999994,,,,,,,,,1.0525509659200907,0.09369192168902596,,
subj10,stress,,SCL,3,59.974999999999994,,,,,,,,,1.09969761043787,-0.0180602750183513,,
subj10,stress,,SCL,4,59.97500000000002,,,,,,,,,1.2537620431681473,0.12565221842000068,,
subj10,stress,,SCL,5,0.0,,,,,,,,,1.2558366060256958,,,
subj10,stress,,SCR,0,59.975,,,,,,,,,,,0.765324832449346,0.004033956380748976
subj10,stress,,SCR,1,59.974999999999994,,,,,,,,,,,0.8511657498607063,0.007780630687691144
subj10,stress,,SCR,2,59.974999999999994,,,,,,,,,,,0.8407529799148961,0.0045041393388532925
subj10,stress,,SCR,3,59.974999999999994,,,,,,,,,,,0.7014854579718754,-0.003211329328845901
subj10,stress,,SCR,4,59.97500000000002,,,,,,,,,,,1.3918303102505887,0.01052421935631628
subj10,stress,,SCR,5,0.0,,,,,,,,,,,0.0,-0.006777326110750437
subj10,stress,,U_15_Temp       ,0,59.975,,,,,,,,,,,,
subj10,stress,,U_15_Temp       ,1,59.974999999999994,,,,,,,,,,,,
subj10,stress,,U_15_Temp       ,2,59.974999999999994,,,,,,,,,,,,
subj10,stress,,U_15_Temp       ,3,59.974999999999994,,,,,,,,,,,,
subj10,stress,,U_15_Temp       ,4,59.97500000000002,,,,,,,,,,,,
subj10,stress,,U_15_Temp       ,5,0.0,,,,,,,,,,,,
