subject_id,session_type,method,signal,epoch,duration_s,HR_est_bpm,peak_count,HR_mean,HR_std,Motion_mean,Motion_p95,PVA_mean,PVA_std,SCL_mean,SCL_slope_per_min,SCR_pos_area,SCR_mean
10,meditation,custom,BVP,0,59.975,104.04335139641518,104.0,,,,,,,,,,
10,meditation,custom,BVP,1,59.974999999999994,95.03959983326386,95.0,,,,,,,,,,
10,meditation,custom,BVP,2,59.974999999999994,99.04126719466446,99.0,,,,,,,,,,
10,meditation,custom,BVP,3,59.974999999999994,96.040016673614,96.0,,,,,,,,,,
10,meditation,custom,BVP,4,59.97500000000002,104.04335139641513,104.0,,,,,,,,,,
10,meditation,custom,BVP,5,56.44999999999999,99.91142604074403,94.0,,,,,,,,,,
10,meditation,custom,HR,0,59.975,,,92.55047144730885,16.266014500323397,,,,,,,,
10,meditation,custom,HR,1,59.974999999999994,,,94.51984768867493,4.779798889200104,,,,,,,,
10,meditation,custom,HR,2,59.974999999999994,,,97.37247737884522,2.812244207102971,,,,,,,,
10,meditation,custom,HR,3,59.974999999999994,,,95.92159972190856,2.534781208685998,,,,,,,,
10,meditation,custom,HR,4,59.97500000000002,,,102.29964530309041,4.079208785604273,,,,,,,,
10,meditation,custom,HR,5,56.44999999999999,,,99.01174498174295,3.618666935035973,,,,,,,,
10,meditation,custom,MOTION,0,59.975,,,,,0.04569551699484387,0.1796089708805084,,,,,,
10,meditation,custom,MOTION,1,59.974999999999994,,,,,0.007157417889684433,0.0718435943126678,,,,,,
10,meditation,custom,MOTION,2,59.974999999999994,,,,,0.0019098421745002254,0.0,,,,,,
10,meditation,custom,MOTION,3,59.974999999999994,,,,,0.0031132223363965726,0.0,,,,,,
10,meditation,custom,MOTION,4,59.97500000000002,,,,,0.002679167309155064,0.0,,,,,,
10,meditation,custom,MOTION,5,56.44999999999999,,,,,0.0007378359206908035,0.0,,,,,,
10,meditation,custom,PVA,0,59.975,,,,,,,24.716493701140084,5.933217572967888,,,,
10,meditation,custom,PVA,1,59.974999999999994,,,,,,,25.573087035020194,1.492260722638547,,,,
10,meditation,custom,PVA,2,59.974999999999994,,,,,,,26.651658563613893,2.0273677704948616,,,,
10,meditation,custom,PVA,3,59.974999999999994,,,,,,,27.040211589336394,1.8455924227303917,,,,
10,meditation,custom,PVA,4,59.97500000000002,,,,,,,26.08318072875341,1.895480811327638,,,,
10,meditation,custom,PVA,5,56.44999999999999,,,,,,,26.343747271959526,1.9175056841658478,,,,
10,meditation,custom,SCL,0,59.975,,,,,,,,,0.9457031192382177,-0.019109591776648546,,
10,meditation,custom,SCL,1,59.974999999999994,,,,,,,,,1.0475179574886957,0.19702387811545766,,
10,meditation,custom,SCL,2,59.974999999999994,,,,,,,,,1.0077777680754663,-0.11803606651715723,,
10,meditation,custom,SCL,3,59.974999999999994,,,,,,,,,0.8909554613381624,-0.11611434199339603,,
10,meditation,custom,SCL,4,59.97500000000002,,,,,,,,,0.8258626572291057,-0.019627264045042718,,
10,meditation,custom,SCL,5,56.44999999999999,,,,,,,,,0.8236924095352227,0.020999476768372913,,
10,meditation,custom,SCR,0,59.975,,,,,,,,,,,0.2125430927133823,0.0008009051149162025
10,meditation,custom,SCR,1,59.974999999999994,,,,,,,,,,,0.5903570144611527,0.005447771526586211
10,meditation,custom,SCR,2,59.974999999999994,,,,,,,,,,,0.07181947593404572,-0.004734929410584497
10,meditation,custom,SCR,3,59.974999999999994,,,,,,,,,,,0.0035569489444354494,-0.0050144835740174205
10,meditation,custom,SCR,4,59.97500000000002,,,,,,,,,,,0.06328685077839892,-0.001446357836783038
10,meditation,custom,SCR,5,56.44999999999999,,,,,,,,,,,0.12358440423664584,0.00023760884638749917
10,meditation,custom,U_15_Temp       ,0,59.975,,,,,,,,,,,,
10,meditation,custom,U_15_Temp       ,1,59.974999999999994,,,,,,,,,,,,
10,meditation,custom,U_15_Temp       ,2,59.974999999999994,,,,,,,,,,,,
10,meditation,custom,U_15_Temp       ,3,59.974999999999994,,,,,,,,,,,,
10,meditation,custom,U_15_Temp       ,4,59.97500000000002,,,,,,,,,,,,
10,meditation,custom,U_15_Temp       ,5,56.44999999999999,,,,,,,,,,,,
4,meditation,custom,BVP,0,59.975,132.05502292621927,132.0,,,,,,,,,,
4,meditation,custom,BVP,1,59.974999999999994,393.1638182576074,393.0,,,,,,,,,,
4,meditation,custom,BVP,2,59.974999999999994,280.1167152980409,280.0,,,,,,,,,,
