sec,SCL,SCR,BVP,PVA,HR,MOTION
0,0.7710882931947707,0.0010000000474974,58.43833923339844,0.0,30.0,1.239301950670779
1,0.8331934526562691,0.0010000000474974,51.37606840133667,0.0,30.0,0.06717375833541153
2,0.8590578943490982,0.0010000000474974,50.405983257293705,0.0,30.0,0.03358687963336708
3,0.8986938074231148,0.05626253677473867,51.05006093978882,0.0,30.0,0.04741677101701501
4,0.9663685977458953,0.1540452308952809,50.53357725143432,0.0,30.0,0.059450572542846206
5,1.0022660031914694,0.10873757340013983,49.53418807983399,1.20695972442627,34.89473648071289,0.001436871849000455
6,1.0176778435707063,0.08676037620753052,50.85103788375854,16.260683917999284,77.3098316192627,0.033048052527010464
7,1.0475096881389623,0.07925741542130713,51.49999990463257,16.42124500274661,72.65371131896975,0.027300565131008647
8,1.0622730106115363,0.058376751374453306,46.547008419036864,30.01098785400388,75.92464733123782,0.02442682199180128
9,1.089548936486244,0.057259522192180154,52.360805892944335,32.9426116943359,76.6773147583008,0.0
10,1.1184652358293519,0.06283586844801904,47.46886434555053,37.88766670227048,78.4578666687012,0.007184359245002275
11,1.1266289353370662,0.04793100450187922,48.88644680976868,43.07203826904296,72.58141937255864,0.03915475830435756
12,1.1333429962396626,0.035345240030437715,51.79548215866089,47.70329761505131,68.0677240371704,0.020295814983546746
13,1.1384166836738594,0.02441790732555091,50.74847383499146,49.66422557830814,65.71120548248287,0.11908075436949736
14,1.1469618827104586,0.019314664462581278,48.58546981811524,39.85592355728146,67.02097225189208,0.05855252761393788
15,1.142536705732347,0.006779622809699492,51.05982923507691,26.061049938201887,67.4630687713623,0.013650282472372061
16,1.1292993009090422,-0.008726073859725136,48.67399272918702,26.2271060943604,65.75760288238523,0.007184359245002275
17,1.1294518709182737,-0.00826614811085162,49.73992671966555,26.379731178283727,64.76938247680665,0.024426821433007735
18,1.1288033694028852,-0.007699214376043488,49.63736257553101,26.327228403091418,64.24700183868408,0.020475424267351643
19,1.1242255896329874,-0.009078461420722276,51.64346771240234,24.863858795166035,68.41813926696776,0.0
20,1.1139637410640697,-0.013915083743631842,50.015262699127206,27.71062211990361,75.79324226379391,0.0
21,1.106868198513982,-0.015950884623453024,49.05067167282105,30.612942504882824,77.46109619140626,0.015805590339005006
22,1.105494859814641,-0.012678648589644579,47.93406610488893,31.916971778869595,71.80952835083008,0.00287374369800091
23,1.1190374404191956,0.004516050504753363,48.16117219924927,31.958485221862805,66.96347198486329,0.0
24,1.122432628273963,0.008592615960515082,50.88827848434449,28.420635223388654,62.6929126739502,0.0
25,1.104350408911702,-0.008347737333679092,49.42063465118408,23.377899265289333,64.14542217254642,0.01149497479200364
26,1.0976363569498024,-0.01295462325215339,51.48473720550537,22.161171913146998,67.5374870300293,0.0
27,1.1075548619031879,-0.0023445681406883325,49.27228307724,25.542124938964868,66.90440540313719,0.0
28,1.1235007762908926,0.012748125602956859,50.78815622329713,26.996947479248057,63.77839355468747,0.0
29,1.134411144256592,0.02238220483995974,45.45360193252564,25.2258853912354,69.5249099731445,0.01149497479200364
30,1.1373866796493537,0.020850221207365394,49.367521667480474,26.648962450027454,72.77370853424075,0.0
31,1.1415829896926892,0.017056738724932068,52.216117382049575,30.902319765090944,65.6566656112671,0.024426821433007735
32,1.1540955871343639,0.020543762343004347,51.532356452941904,27.709401750564574,62.80076274871823,0.024426821433007735
33,1.1777474313974372,0.034186567459255454,49.2655673980713,25.133699035644526,65.80724964141844,0.0
34,1.1930066734552356,0.03791561513207851,49.77289371490479,26.559828281402588,67.81956005096434,0.012931846641004094
35,1.183927440643307,0.018174848018679756,48.719169616699226,26.553113603591935,68.29089889526368,0.0
36,1.171224093437197,-0.0021756955655291626,49.48595848083497,26.16849899291991,67.44139881134035,0.01149497479200364
37,1.1574907660484344,-0.01935496602673083,48.83394374847413,27.367521858215305,65.87290019989015,0.03951397594064476
38,1.147267049551012,-0.02670930381864311,51.49877910614015,26.49755816459656,64.66433944702148,0.0
39,1.160122993588451,-0.00671042980393394,48.731379699707034,23.467643976211516,72.89262657165526,0.02047542408108713
40,1.1793115019798246,0.016243366501294074,47.478022098541274,25.04517745971679,79.90951805114749,0.03448492437601092
41,1.190488898754117,0.02576754610054193,50.07753372192383,25.5921859741211,81.4111251831055,0.01724246218800546
42,1.1884670406579938,0.01836642003618181,49.884004783630374,25.99694795608521,80.25401897430422,0.0
43,1.1652348399162318,-0.010123342003498684,51.289377498626706,23.170940399169925,74.13582916259767,0.0
44,1.1463133692741412,-0.029508207598701125,50.079975605010986,19.77289333343508,66.69979209899904,0.012931846641004094
45,1.1407437413930903,-0.029572500754147767,48.67399272918702,20.968253469467168,63.331429290771474,0.0
46,1.1360515177249915,-0.02476358492858708,51.64468851089479,20.13430957794191,64.5968744277954,0.0
47,1.2020859569311146,0.04806246860825926,50.543956279754646,20.19230775833132,71.3198369979858,0.004310615547001365
48,1.359179961681366,0.18348663188517095,48.96092777252198,22.48351602554323,73.71415977478028,0.00574748739600182
49,1.4054154992103594,0.18202048763632783,48.00976819992065,23.782051181793218,73.02866859436037,0.02298994958400728
50,1.401600691676141,0.12579114008694886,48.80341863632203,23.23687467575073,71.45120544433597,0.04687794446945193
51,1.3834040403366081,0.056720777787268174,50.38766784667968,23.189255523681602,67.92050170898438,0.0
52,1.3668095976114245,-0.0032896426528168377,51.23626365661621,21.93345503807064,65.01631584167482,0.030174308829009556
53,1.3617358595132791,-0.023837609775364383,49.792429828643805,20.946275186538717,66.13249053955077,0.014368718676269066
54,1.3776818126440034,-0.0029334579856367697,48.80708208084107,23.3943824768066,67.0016784667969,0.0
55,1.3993881165981303,0.021743041835725313,51.35653228759766,27.797314405441313,64.43819675445555,0.020116206258535402
56,1.3933606922626498,0.014634241641033432,48.83638601303102,26.47619080543517,63.99158134460447,0.0
57,1.3747825592756253,-0.005867951952677673,49.350427341461184,25.2014656066895,65.91275634765628,0.02765978351235392
58,1.363376253843304,-0.01822647876106202,49.19352884292603,25.443224048614518,66.98804931640626,0.02622291147708895
59,1.3591036736965143,-0.02119007250294088,48.91819295883179,24.198413467407228,68.42207469940188,0.0
60,1.3551362514495806,-0.018516106787137672,47.88705787658692,24.207570266723682,70.45148696899415,0.0
61,1.3597140282392464,-0.005417022980691388,51.532967472076415,27.21001157760623,71.48685817718504,0.01724246218800546
62,1.3826410710811605,0.02011509477160871,50.66422452926636,28.275946903228732,67.62754993438719,0.007184359245002275
63,1.400456252694131,0.03299914444796742,48.890109920501715,24.8229551315308,65.90774345397945,0.00287374369800091
64,1.4070940405130405,0.03091435441747308,48.96275939941407,23.525640535354626,65.41674499511714,0.0
65,1.407895165681841,0.021561300521716474,49.67643461227418,21.73015918731687,65.15372962951659,0.0
66,1.4087725877761863,0.011976097966544325,50.45848598480226,19.5909647464752,65.86324615478517,0.00574748739600182
67,1.4146473675966291,0.00978769757784901,50.72405405044556,20.05372428894044,66.86906280517582,0.03412570636719467
68,1.4234595626592674,0.013258226611651497,50.10012216567993,21.275945806503266,67.44451541900636,0.00574748739600182
69,1.4273125350475353,0.012975522154010849,51.81501836776734,20.19352912902831,69.52374897003173,0.09070253372192379
70,1.4471495717763871,0.027197869215160597,48.88156309127808,21.68131895065304,71.4204711914063,0.05011090561747551
71,1.4731665998697276,0.04258497077971695,48.21062269210816,23.07692298889158,71.81575012207034,0.02442682161927225
72,1.469237345457076,0.026141693093813957,48.61050062179565,21.46520118713376,71.03802776336673,0.0
73,1.4489425331354107,-0.0020201148086925877,49.738095378875734,20.10744762420654,70.73399429321292,0.0
74,1.4376125365495636,-0.016691241203807293,50.68742370605469,22.681319046020498,68.15501708984378,0.00574748739600182
75,1.432500693202022,-0.021766027435660366,52.64041538238526,23.69841308593749,66.09591026306154,0.00574748739600182
76,1.4258629232645075,-0.02184669622220099,49.09401693344117,23.70451793670652,70.1228691101074,0.004310615547001365
77,1.4383373558521273,-0.00047094002657104754,47.58302812576295,25.579975271224946,73.78354454040527,0.0
78,1.4800714164972306,0.041212621517479404,48.423687458038344,26.69108619689944,73.81714782714843,0.0
79,1.506508082151416,0.05701118623837827,51.439560222625744,26.993895149231,72.66672744750973,0.0
80,1.5172658473253295,0.05229308763518927,47.71733808517457,23.727716255188003,72.86417579650879,0.012931846641004094
81,1.5236365795135451,0.04025318203493948,52.27838850021364,23.782661056518513,72.63874092102054,0.015805590339005006
82,1.5171895533800153,0.01536808978999032,49.52197818756103,24.7130645751953,69.84708766937254,0.02155307792127134
83,1.5014343768358258,-0.010484226899416171,48.651403999328615,23.056165504455556,73.24861545562743,0.012931846827268612
84,1.4886928766965877,-0.023087308043614037,46.5042730331421,25.6324791908264,77.86288490295412,0.016164808720350275
85,1.4797662466764452,-0.026236124895513063,52.39194135665893,29.18192958831785,75.83222198486325,0.026043302379548567
86,1.474311032891273,-0.022888470673933636,50.58852262496949,29.723443365097033,70.9312288284302,0.018858942948281776
87,1.4907528877258316,0.002049623237689955,49.73809509277344,25.264957809448248,68.97466735839842,0.0
88,1.531228068470953,0.041890292707830686,49.755189037323,24.8034192085266,68.42317543029787,0.0
89,1.5321436166763267,0.03460950953885913,47.45299119949341,24.672161340713508,68.1277099609375,0.0
90,1.5232169240713127,0.01738312568049876,48.52930364608765,21.87545814514158,70.85823974609374,0.012931846641004094
91,1.5443891674280141,0.02742789699696005,50.938949775695804,22.155066871643026,73.10987873077389,0.0
92,1.5554139763116825,0.023644051305018385,50.65567770004273,24.586080074310313,71.38375434875488,0.0
93,1.5349665880203212,-0.0035504465966368997,50.36446895599366,21.880341529846174,68.33033046722412,0.0
