sec,SCL,SCR,TEMP,BVP,PVA,HR,MOTION
0,0.8710363999009132,0.0010000000474974,28.98099989891052,50.70695962905884,12.039072036743164,39.370079040527344,0.9160057932138443
1,0.8730964094400406,-0.04787135989172388,29.054500102996826,47.57936506271362,12.349816823005677,48.534763431549074,0.3028207406401634
2,0.8856852903962136,0.05868602790869768,29.109249973297118,52.30830278396606,17.239927220344544,70.29418096542358,0.3320969969034195
3,0.9263512030243873,0.046344031440094066,29.16299991607666,49.8693528175354,18.540292859077454,89.51826686859131,0.02604330163449048
4,1.0161137700080871,0.11702421084046358,29.215749645233153,48.712454319000244,10.761904811859129,97.95337219238282,0.013650282472372039
5,1.104045218229294,0.1669059108942747,29.26575036048889,50.47435903549194,16.585470032691955,100.0959939956665,0.1726042259484529
6,1.149479666352272,0.1605997022241354,29.31324973106384,48.71611738204956,28.949939727783203,96.77917003631592,0.12788159325718876
7,1.1489837348461152,0.10516674928367134,29.355750465393065,51.152625274658206,28.04151358604431,90.7493854522705,0.08441622052341693
8,1.1226615250110625,0.03187252939969762,29.408999824523924,49.9230770111084,28.66239376068115,85.54597053527831,0.007184359245002263
9,1.0987044841051101,-0.019948876829585016,29.459250116348265,48.695359992980954,29.616606140136717,81.61863403320312,0.018679334037005883
10,1.1130863398313522,-0.012943192472084763,29.513750314712524,53.64102554321289,25.937119007110596,79.88567657470703,0.09070253614336249
11,1.1796929746866227,0.05072467280551788,29.561999702453612,48.17521362304687,28.33699607849121,79.90911693572998,0.3044372133910656
12,1.2202063113451005,0.08097429331392046,29.605250453948976,49.49328479766846,27.813796615600587,81.82935123443603,0.2563020087778568
13,1.2573625802993775,0.09807379245758052,29.64399948120117,44.36996345520019,23.931623458862305,83.6820068359375,0.12518745735287665
14,1.2874233186244965,0.09479898177087301,29.68250036239624,53.98840036392212,20.278388023376465,103.6936185836792,0.08244052026420828
15,1.305467391014099,0.07368809301406139,29.72399983406067,53.54700889587402,15.335775375366214,118.81188201904294,0.13829891234636302
16,1.345904415845871,0.0781616045162081,29.76950044631958,49.583638763427736,13.523809337615967,133.65989608764647,0.20708914957940575
17,1.3925214380025863,0.09189103245735167,29.809499549865723,43.08363833427429,13.157508850097656,142.48575286865236,0.16721595712006088
18,1.4710303038358687,0.13209070861339564,29.851250314712523,51.393772983551024,13.919413566589355,147.05882263183594,0.14153187479823823
19,1.5507599085569381,0.16359000690281386,29.893249464035033,50.87790012359619,17.611721253395082,134.61278915405273,0.12303215023130176
20,1.5797143518924712,0.13749146610498425,29.936750078201293,49.31135530471802,28.062270784378047,87.49909591674803,0.10201789941638702
21,1.5499969452619553,0.058954653842374624,29.975999450683595,48.24847354888916,14.90964617729187,66.79753198623658,0.08154247812926767
22,1.4823221564292908,-0.038298752739501604,30.008250188827514,49.619047451019284,14.54212498664856,62.76183137893677,0.05603800099343057
23,1.4113284826278687,-0.11208860073238607,30.04774980545044,47.89804658889771,13.78266201019287,65.69363403320312,0.005388269573450085
24,1.3648258924484253,-0.13260365556925532,30.082749986648558,50.20879135131836,11.029304218292236,71.75253276824951,0.048314816504716834
