sec,SCL,SCR,TEMP,BVP,PVA,HR,MOTION
0,4.065904700756073,0.0010000000474974,29.430750131607056,50.236263847351076,0.0,30.0,0.01670363564044236
1,4.030388832092285,0.008702294435352045,29.483749628067017,50.39499397277832,2.9230769753456114,34.92900381088257,0.0
2,4.038209235668182,0.2094328361563384,29.531000328063964,50.88705739974976,12.178266477584838,55.09946479797363,0.0
3,4.087534725666046,0.018476156587712428,29.573749780654907,48.35225896835327,13.35531153678894,71.75549430847168,0.0
4,4.096881020069122,0.031308154156431504,29.610000562667846,51.62637338638306,14.449328470230103,80.98492164611817,0.0
5,4.0671635389328005,0.0034900290767836697,29.642499446868896,49.852259159088135,16.442002868652345,84.79477233886719,0.0
6,4.027069938182831,-0.03657868518494065,29.674250173568726,48.2710620880127,27.111111164093018,83.9427339553833,0.0
7,3.9905621349811553,-0.0689460884779691,29.714749479293822,51.443833637237546,31.986568880081176,82.0380199432373,0.0
8,3.9775917530059814,-0.06623552190139884,29.747749948501585,46.749084091186525,34.10988922119141,81.46662139892578,0.0
9,3.980834424495697,-0.0395669762976467,29.78000063896179,53.29609298706055,30.548839950561522,81.68425006866455,0.0
10,3.9688558638095857,-0.029904032684862573,29.81199951171875,49.65750913619995,31.145298767089844,81.69979248046874,0.0
11,3.9542069673538207,-0.02698497651144858,29.843500232696535,46.954822635650636,32.99145278930664,79.76249599456787,0.0
12,3.939367359876633,-0.029682220984250253,29.870250463485718,52.1312575340271,31.833333492279053,77.47094631195068,0.0
13,3.9106417894363403,-0.047105206828564325,29.897499561309814,50.012820434570315,30.158729791641235,77.57044124603271,0.0
14,3.8894313871860504,-0.05239179087802759,29.92325015068054,50.114773750305176,30.92612886428833,79.86871376037598,0.0
15,3.8832895755767822,-0.04051315458491436,29.952000045776366,51.02625141143799,30.77228283882141,84.13871479034424,0.0
16,3.879512906074524,-0.028688257047906462,29.975999450683595,51.24236879348755,34.12331962585449,86.02418937683106,0.0
17,3.8615070223808288,-0.03118103863671414,30.000250005722044,49.45238084793091,36.0439567565918,87.42595062255859,0.0
18,3.8495666086673737,-0.032799063343554646,30.01475033760071,46.35714259147644,36.576923847198486,87.52437591552734,0.0
19,3.8227484822273254,-0.0422410620376467,30.04849991798401,49.910866832733156,44.048841857910155,82.66426849365234,0.0
20,3.796121096611023,-0.05332464594393969,30.07399978637695,51.98351640701294,43.63369855880738,78.88534317016601,0.0
21,3.7707144141197206,-0.0588336863555014,30.101500415802,48.20146541595459,44.24786348342896,77.30267448425293,0.0
22,3.7490463078022005,-0.0582958947867155,30.124749994277956,48.69108667373657,41.62393226623535,76.63356704711914,0.0
23,3.7420270442962646,-0.0431710220640525,30.14824957847595,53.169108390808105,39.93650894165039,78.8173698425293,0.0
24,3.8737143993377687,0.0966866875067353,30.16925005912781,50.23137979507446,40.212453842163086,82.60860805511474,0.0
25,4.097643971443176,0.2836658310145139,30.197750568389893,50.34676427841187,40.53968124389648,89.54098854064941,0.0
26,4.162305104732513,0.27569022290408607,30.218999290466307,51.238705730438234,43.70757055282593,92.58911533355713,0.0
27,4.128849136829376,0.1652542103081941,30.23974976539612,47.83760676383972,44.25702247619629,91.72174816131592,0.0
28,4.072695100307465,0.03664290522137886,30.261250257492065,46.71245403289795,46.47374887466431,84.4955961227417,0.01724246218800543
29,4.028634035587311,-0.058370344154536666,30.286000776290894,47.20512833595276,45.55067100524902,79.05870132446289,0.0
30,4.0250100016593935,-0.06807627752423281,30.30774941444397,52.70512771606445,42.38156213760376,77.08230457305908,0.0
