sec,SCL,SCR,TEMP,BVP,PVA,HR,MOTION
0,2.4439604043960585,0.0010000000474974,35.504249286651614,50.585470104217535,9.636141920089727,43.7098803520203,0.17206540126353503
1,2.4871059417724597,0.08170404680713537,35.511498641967776,51.85897436141969,13.666666698455824,69.05388088226323,0.02442682161927225
2,2.445715212821961,0.18356384682119825,35.52474966049197,48.41514043807984,23.44749660491943,87.18254203796384,0.0
3,2.2719885945320137,-0.1451033643912524,35.532749366760264,48.03724069595337,21.48229494094849,95.53899192810057,0.00574748739600182
4,2.1770760357379917,-0.21125934682786465,35.5400009155273,50.516483592987065,24.034799098968502,98.1193771362305,0.0
5,2.1620838224887833,-0.17567575909197336,35.54699974060061,49.41391954421997,25.9249084472656,97.22237758636476,0.0
6,2.1615115702152234,-0.11429169625043874,35.5499992370606,50.026861953735356,24.382173061370857,95.49302921295167,0.04310615547001365
7,2.2098452687263532,-0.007384592492599059,35.5499992370606,51.42857131958009,24.305860185623168,95.9532873153687,0.004310615547001365
8,2.1443067789077763,-0.038479817821644266,35.555750465393075,49.11416339874268,25.256410694122312,96.26623668670653,0.0
9,2.0315027236938477,-0.1256828952580691,35.560001373291,49.99572677612305,23.888888835906975,95.92568588256833,0.00574748739600182
10,1.9530320107936867,-0.16807855963706977,35.560001373291,50.83333339691162,23.768009614944507,98.26178646087644,0.07256202884018424
11,1.8972594380378704,-0.1771650522947312,35.560001373291,49.39072065353394,23.703296375274697,100.02470016479501,0.03789749536663296
12,1.8620868533849724,-0.15042818896472454,35.561501121520976,51.56166057586671,21.886447143554683,99.23605728149401,0.03735866807401183
13,1.826685380935669,-0.11723686214536425,35.5699996948242,49.15873022079469,22.21733794212344,101.45461673736592,0.03161118067801001
14,1.796929833292958,-0.09207439273595806,35.5760009765625,47.81868143081667,21.641636657714866,101.62259788513195,0.0
15,1.8273720532655715,-0.024877382797421896,35.5800018310547,50.42918233871461,24.973747968673685,100.95921592712395,0.0
16,1.8779946297407117,0.038798360992223016,35.5800018310547,51.36996335983277,24.59645853042599,99.21529331207287,0.0
17,1.850184643268586,0.01278727678582072,35.5800018310547,48.905372142791755,24.18986558914186,97.57345561981202,0.0
18,1.802537611126897,-0.030843242583796393,35.5800018310547,50.465201568603526,23.3894992828369,97.25307998657229,0.0
19,1.7807168722152729,-0.04862349024042489,35.5800018310547,50.777167224884025,23.659951019287135,97.73992767333985,0.0
20,1.766182440519336,-0.05685095572844147,35.5892502784729,47.89621486663819,25.23687458038329,97.39631252288817,0.0
21,1.7387920677661897,-0.0634270692244172,35.5900001525879,50.48412733078004,25.467032909393303,96.08664264678958,0.0
22,1.7144154220819445,-0.05886087976396083,35.59724893569947,48.35958471298218,24.3223438262939,94.978560256958,0.0
23,1.6946928322315227,-0.0544985609129071,35.5999984741211,50.659340476989755,23.630037307739293,94.5515125274658,0.0
24,1.6710791260004065,-0.056619172636419524,35.5999984741211,48.8180708885193,25.235043191909803,94.85286655426027,0.0
25,1.6529587626457214,-0.052419197559356714,35.5999984741211,48.38949909210206,24.71794891357422,94.64847908020019,0.007184359245002275
26,1.6409421175718293,-0.0431839822791517,35.603499221801776,51.29120864868164,24.08058624267582,94.49192962646482,0.0
27,1.6376232355833036,-0.02896869918331506,35.6100006103516,51.62881555557251,23.35409002304078,94.74276542663576,0.0
28,1.6459013581275932,-0.008221239619888347,35.6100006103516,48.01831493377686,23.070818042755135,96.25766563415527,0.07543577253818515
29,1.6565065473318104,0.009025700659185515,35.6100006103516,48.42979211807252,21.208791494369486,98.33663368225095,0.00287374369800091
30,1.699194312095642,0.04869059044867756,35.6125001907349,47.79181928634644,25.413919258117655,97.51623458862308,0.024067603796720523
31,1.7326120823621742,0.06773403622210025,35.6199989318848,50.018925476074216,24.227716445922844,92.88439273834227,0.0075435772538185175
32,1.7502364993095412,0.06444846261292696,35.62700042724608,49.95360221862793,19.63614206314086,88.23136978149415,0.0
33,1.7451628148555762,0.03755089542828501,35.6300010681152,50.992674160003666,13.517704629898088,86.53027877807615,0.0
34,1.7155598640441867,-0.008178960842087687,35.6300010681152,49.6404151916504,10.079365110397344,86.89679450988771,0.01724246218800546
35,1.6907254278659845,-0.038135445490479446,35.6300010681152,50.97741127014161,10.501831674575778,89.39437026977541,0.019397770240902914
36,1.678098377585414,-0.04353764066472648,35.639499473571746,48.26007318496704,9.51831505298615,91.78580493927,0.0
37,1.6887035757303281,-0.0209868089063093,35.6399993896484,49.41514024734498,9.99633696079255,97.0614366531372,0.0
38,1.6884365350008053,-0.009377607179339945,35.6399993896484,49.940170860290536,11.615994834899888,97.93755149841307,0.0
39,1.6686758071184176,-0.018958906130865195,35.6399993896484,49.30525035858154,11.783271932601897,97.12091979980464,0.0
40,1.6526917278766633,-0.026180262491107005,35.64825115203856,50.374236869812016,12.256410098075852,99.62940177917491,0.0
41,1.6364787817001325,-0.034724940499290854,35.647000885009746,49.93650779724122,15.64835133552551,101.2239015579224,0.0
42,1.6215247064828837,-0.03897243225947025,35.64975147247314,49.301587200164796,16.449327945709207,100.26462287902834,0.0
43,1.608363601565363,-0.03690726356580855,35.6500015258789,49.61660556793213,15.791208839416509,98.01765632629392,0.0
44,1.5987502604723016,-0.0313829777762294,35.6500015258789,50.416971683502204,15.843711900711048,97.75595283508298,0.0
45,1.5901287764310865,-0.02701668911613525,35.648001098632804,49.58424911499024,18.2905979156494,98.00119972229001,0.0
46,1.5788750827312485,-0.02618633029051126,35.6399993896484,49.18986597061157,18.203296566009513,98.0392150878906,0.01149497479200364
47,1.5685369461774832,-0.025552489235997216,35.6399993896484,50.26923084259034,18.869963359832767,97.107173538208,0.0
48,1.5580080509185783,-0.02578315506689251,35.6399993896484,48.41208791732789,21.02869319915771,95.81044101715092,0.0
49,1.5515991598367678,-0.022434777067974213,35.6399993896484,50.385836505889884,21.47496967315675,92.30435943603518,0.027659783326089406
50,1.5443891733884787,-0.020386493345722557,35.6399993896484,50.10683746337891,21.0989017486572,88.78903160095214,0.01724246218800546
51,1.5392773300409286,-0.016883296961896124,35.6399993896484,49.80891361236573,19.843711948394755,89.03701820373536,0.0
52,1.5352336078882183,-0.013699984434060739,35.6399993896484,48.005494403839116,21.196581840515147,94.35455322265625,0.0
53,1.5270699262618974,-0.015518552903085939,35.6399993896484,51.283882522583006,22.2466430664063,95.5414047241211,0.0
54,1.5182958394289054,-0.017856882000342005,35.6399993896484,50.8290599822998,21.94139227867128,95.58733787536622,0.0
55,1.5076143771410022,-0.021588329318910828,35.6399993896484,47.26923084259034,20.6764346122742,96.29297485351563,0.0
56,1.4983825176954293,-0.023025309108197684,35.6399993896484,50.238095092773435,23.11416411399841,97.07441444396969,0.0
57,1.4904476940631879,-0.022308944258838885,35.6399993896484,50.02991428375245,22.989010620117178,96.5709543228149,0.0
58,1.4816354930400852,-0.02212917716242372,35.6399993896484,48.549450397491455,22.236873626708977,95.87164096832275,0.0
59,1.4735099345445628,-0.02118720021098851,35.6399993896484,51.36630048751831,21.76251473426815,96.61376152038572,0.0
60,1.4667195647954927,-0.019348179781809437,35.64450035095213,49.90109910964965,22.434676074981677,98.01558418273927,0.0
61,1.4619129091501217,-0.016532525513321152,35.6500015258789,47.59706945419312,21.310134267807026,100.3248023986817,0.018679334037005915
62,1.4606921643018702,-0.010973281681071957,35.6500015258789,49.2106225013733,21.699023294448843,101.01949710845977,0.0
63,1.470801416039466,0.003381001542948048,35.6500015258789,49.105006408691416,24.4444446563721,98.90507221221927,0.0
64,1.4752647548913953,0.008339161076582932,35.6500015258789,50.052503108978286,23.714286279678348,96.00943107604978,0.018679334037005915
65,1.4640873372554764,-0.00287004567799157,35.65400085449218,50.94139175415039,23.274725532531768,95.03493118286136,0.0
66,1.452223265171048,-0.013468909834045906,35.6599998474121,48.50671558380127,21.96581172943115,95.3138008117676,0.0
67,1.4424192160367926,-0.0205498102121055,35.66474905014037,51.253968238830566,22.774724483489976,96.75979709625244,0.03987319320440288
68,1.4367351442575416,-0.02111582960933445,35.6699981689453,51.184370803833005,20.07814350128173,98.47893753051758,0.03897514808923003
69,1.4334162473678638,-0.016475088265724473,35.6699981689453,48.959706974029544,20.228327465057347,99.42960968017601,0.01149497479200364
70,1.4318139880895662,-0.010526971681974803,35.67049827575683,47.797313690185554,21.8461544036865,102.10043029785184,0.0
71,1.4385280877351727,0.0008675798155309125,35.6800003051758,49.99328441619874,22.943224191665628,102.00541191101065,0.0
72,1.438337343931196,0.0020655674557929025,35.6800003051758,48.02747220993042,22.307692527771003,98.0063896179199,0.0
73,1.431318080425267,-0.003939894837094425,35.68224992752077,51.23565320968627,20.036020088195794,95.51414165496828,0.0
74,1.4263206869363825,-0.007748011045623534,35.689998626709,49.92429771423341,18.590964841842645,95.63186836242679,0.00574748739600182
75,1.4269310414791148,-0.005722040469117898,35.689998626709,48.53846168518068,20.940170669555663,98.65601711273192,0.0
76,1.4406643956899612,0.008181885175872568,35.690748786926285,50.099511337280276,21.96337018013003,99.99139690399169,0.00574748739600182
77,1.4432966262102087,0.010114936146419486,35.7000007629395,49.909035205841064,21.20390682220455,98.4578022003174,0.004310615547001365
78,1.4342554986476892,0.000269270766875685,35.7000007629395,46.416971874237056,19.97069511413574,98.68782196044918,0.02227151375263931
79,1.419225135445598,-0.014166181359905727,35.708499336242724,48.936507892608645,21.75824222564697,99.56550292968774,0.0
80,1.4087725460529348,-0.022269825357943775,35.7099990844727,51.22100114822388,21.911477851867662,97.87100715637209,0.018679334037005915
81,1.4040039896965042,-0.021382820559665585,35.7099990844727,50.40537252426148,20.811966133117686,97.4227657318115,0.0
82,1.4102221816778207,-0.007769928865309332,35.7099990844727,45.995726680755624,20.446886730194112,98.93048076629651,0.012931846641004094
83,1.443716236948967,0.02874100715853275,35.7099990844727,49.876068496704114,20.473137712478632,100.68396701812755,0.0
84,1.5131840020418164,0.08762680189684037,35.71199951171878,48.26068363189697,24.043956756591818,97.24557037353516,0.0
85,1.5377132534980742,0.08846914488822219,35.7200012207031,51.50854721069337,18.966422891616848,93.13653736114505,0.05819330923259257
86,1.5182195484638228,0.044428589520975954,35.72675008773801,49.78388299942018,11.740537357330341,90.52144317626957,0.10578968841582541
87,1.4987258523702645,0.004654146269967895,35.7299995422363,50.09096441268921,7.462759399414064,92.08221893310547,0.062144707143306756
88,1.5005950957536718,-0.00805038881080691,35.72849979400632,49.42857160568237,6.950549423694615,94.37868976593018,0.03286844398826363
89,1.6160695225000374,0.09431255946401505,35.7200012207031,48.58974351882936,7.17948722839356,95.14003486633302,0.12877963725477454
90,1.8707083284854888,0.3059649966657162,35.7200012207031,51.77472524642944,7.508546996116644,94.99263401031496,0.1081246038898824
91,2.057901230454446,0.40428713783621795,35.723250675201385,44.90659360885622,9.05982875823975,93.25349254608156,0.3434123646467923
92,2.1830652713775645,0.4049829877912998,35.7299995422363,53.8608057975769,9.05982875823975,90.0225067138672,0.5373900573700667
93,2.254783779382705,0.33111161440610887,35.7299995422363,49.31746034622192,16.86629984378812,75.04446411132811,0.19936596173793064
94,2.3429822623729715,0.2699219487607479,35.7299995422363,51.906593704223646,14.285714149475101,68.8468170166016,0.13147377017885428
95,2.3825037479400657,0.18223713915795092,35.7299995422363,47.21733798980713,14.285714149475101,68.8468170166016,0.12285254206508393
96,2.255127102136613,-0.015608974476344902,35.7299995422363,50.45360202789307,13.028082847595218,74.78134841918947,0.24372938424348817
97,2.0743431001901627,-0.2025344580411911,35.7299995422363,52.39438343048096,8.369963109493257,106.4480266571046,0.09447432383894924
98,1.9441053509712218,-0.2888403378427029,35.7299995422363,47.69230766296387,7.838827610015871,114.28571319580098,0.21445312239229683
99,1.862506479024887,-0.29008990898728365,35.7299995422363,48.769841289520265,9.108668923378001,112.86360549926773,0.05388269312679759
100,1.8160802006721486,-0.22861318625509744,35.7299995422363,49.65995101928711,12.95482289791111,104.49698085784908,0.0287374369800091
101,1.7999054044485063,-0.1402029255405069,35.7299995422363,49.159951210021966,13.65934066772462,100.42881011962913,0.0
102,1.7520294755697265,-0.11283436473459008,35.72025117874143,49.94017095565796,13.65323565006258,98.03213405609128,0.0
103,1.685460981726647,-0.12191591616719957,35.7200012207031,50.13614158630371,13.20757050514219,97.68150901794432,0.0
104,1.6344950675964334,-0.1250829473137856,35.7200012207031,48.7081805229187,14.16849803924562,98.91685791015627,0.0
105,1.59535508155823,-0.12007271666079755,35.7200012207031,50.58791189193725,14.432234287261952,98.36284065246585,0.0
106,1.5598010152578348,-0.10955050811171532,35.7200012207031,50.29120874404908,14.344322109222423,99.49998168945334,0.0
107,1.5248191833496088,-0.0969783237203956,35.7200012207031,48.44871816635132,16.699633693695116,101.33916110992428,0.0
108,1.4971236288547538,-0.08315671123564246,35.7200012207031,50.57142877578736,17.186812973022462,100.6384124755861,0.0
109,1.477362900972366,-0.06854774430394174,35.712499618530295,49.98412704467775,16.973748588561985,100.74996662139895,0.01149497479200364
110,1.458746591210363,-0.05804247297346592,35.7099990844727,49.21733837127687,18.79670276641849,101.53172149658178,0.0
111,1.4394055038690545,-0.051759330090135336,35.7099990844727,49.73748464584351,18.22100114822387,100.8807258605958,0.0
112,1.429982924461369,-0.03912333222106102,35.70100059509282,50.46642265319825,17.730159139633173,100.59849872589137,0.0
113,1.4574495643377279,0.0021548734657699277,35.7000007629395,50.746642398834226,19.416971969604454,101.52759513854969,0.00718435943126679
114,1.4910962045192733,0.03752521174028513,35.7000007629395,47.84615364074707,18.689866161346476,101.90651893615765,0.010058102943003185
115,1.4836191982030873,0.025787552027031764,35.7000007629395,49.79426107406617,18.722832489013662,101.3479221343993,0.024426821433007735
116,1.4716406762599938,0.008181624987628287,35.698250389099165,50.27655696868897,20.31013507843013,100.03015213012682,0.0
117,1.4762566059827802,0.004924746177857695,35.69875049591069,50.070818138122576,20.50671577453611,97.41121959686282,0.012931846641004094
118,1.4811014324426655,0.001738363363256205,35.7000007629395,49.575091743469244,19.353480291366587,95.67659206390381,0.0
119,1.4736625462770456,-0.005410242450307088,35.7000007629395,48.25396823883057,19.379732131958022,97.4471374511719,0.047775989398360266
120,1.5320673257112507,0.05181979164481163,35.7000007629395,48.85103778839113,20.45787596702574,99.22609233856201,0.058911744691431546
121,1.623737284541129,0.12207367718219757,35.7000007629395,50.72161159515382,19.23321075439456,98.47391357421878,0.0
122,1.6287728637456869,0.09539186507463449,35.7000007629395,49.92368726730347,17.472527694702187,99.07619056701662,0.0
123,1.6268273025751085,0.06454470418393612,35.70275030136113,48.8174599647522,17.177655696868893,101.07931385040295,0.012931846641004094
124,1.6271324932575197,0.0342821803642437,35.7099990844727,50.50122089385987,16.140415430068952,101.7900405883792,0.012931846641004094
125,1.6013824909925483,-0.015519124702404935,35.7099990844727,50.03846101760865,14.473138165473944,102.57664222717281,0.00287374369800091
126,1.5698721289634712,-0.047384071908891205,35.7099990844727,45.49511620998383,14.057387232780485,102.80200767517135,0.13488634079694728
127,1.5537354618310917,-0.04947611382231118,35.711749458313015,46.633088720915836,20.6593399047852,101.67038955688507,0.5343367140740155
128,1.4209799528121956,-0.15862664002925161,35.7200012207031,62.610500652622434,20.6593399047852,99.5850601196289,0.34610649570822716
129,1.4048814386129385,-0.12182420346653086,35.72949962615964,48.7521369934082,20.6593399047852,99.5850601196289,0.5763652235269536
130,1.8454542607069016,0.3169651573523879,35.73049964904782,42.588522434234626,20.6593399047852,99.5850601196289,0.1912835609167814
131,2.0543534547090534,0.44873862266540526,35.735750770568835,47.20573883056641,29.192308282852196,99.34261665344238,0.05406230352818967
132,2.169827884435654,0.4526805765926838,35.7299995422363,47.86080560684205,14.513431239128115,98.52498397827146,0.00574748739600182
133,2.173757141828537,0.3214962434023618,35.7299995422363,50.20268630981445,15.870573759078988,98.58913211822508,0.031072353944182406
134,2.076746422052384,0.07189175118692219,35.7299995422363,47.18986587524414,15.189254760742198,94.48499450683599,0.017422071099281313
135,1.9642475694417958,-0.11939300941303368,35.73325023651121,51.70024414062501,15.048840117454523,89.83771686553956,0.09932376537472015
136,1.9056138873100275,-0.16937804780900484,35.7400016784668,50.766788578033456,15.7545785427094,89.1697505950928,0.09052292592823516
137,1.9964827477931977,-0.04245412157906685,35.7400016784668,47.64285726547242,15.58485984802248,92.21312255859381,0.02658212892711163
138,2.1024201333522816,0.0872362938709557,35.7400016784668,50.90476188659668,14.71428554058078,93.8193250656128,0.017242462374269976
139,2.0384838402271273,0.03384564056759699,35.7400016784668,50.362637519836426,17.0940170288086,95.2380981445313,0.03951397594064476
140,1.9938123643398278,-0.009504133516747951,35.74925012588501,50.54761929512024,17.0940170288086,95.33333587646489,0.18356037549674506
141,1.9563509017229088,-0.057005334366112936,35.75024995803833,49.36752083301545,20.072038936615,95.08053016662598,0.4650076396763324
142,1.922208321094514,-0.0905421046540141,35.7599983215332,49.802808499336244,61.883392810821576,81.9442663192749,1.1437499672174463
143,1.9971694082021716,0.008216516845277532,35.76124858856202,51.15567770004273,74.76129112243656,73.93665447235108,0.8003376103937624
144,2.179174166917802,0.18684890158474451,35.7700004577637,47.51648321151735,55.20390548706057,71.31848907470706,0.1359639970585704
145,2.245971554517744,0.2113560114055873,35.772500038147,49.31257619857788,21.205739021301262,79.00875186920169,0.3606548309326172
146,2.257110804319381,0.16622629724442964,35.7799987792969,52.808302688598644,18.949938678741425,88.54536685943606,0.06555727813392881
147,2.144650107622147,-0.0008176322095096129,35.78700027465818,38.994505673740065,17.8021984100342,92.5212020874023,0.996291003376246
148,2.045350509881973,-0.1272624345496298,35.7900009155273,52.45726456642152,16.3186814785004,93.66321372985843,0.9301949068903914
149,2.120197141170501,-0.0478072852100013,35.793000411987286,32.50061061587185,42.41025705337526,94.58244590759276,2.0963959559798253
150,2.265961176156998,0.10335091333836319,35.79225053787229,48.901709365844724,57.89987945556639,94.7867279052734,0.3337134765461087
151,2.4180577993392953,0.23830810338258743,35.7999992370606,43.98473706245422,57.89987945556639,94.7867279052734,0.09106175210326908
152,2.500953704118727,0.2671159610152245,35.793250370025625,68.15995111465455,57.89987945556639,94.7867279052734,0.04166928399354222
153,2.3909726262092597,0.08122404046298472,35.7900009155273,59.731990718841566,53.202077198028576,82.5839805603027,0.012931846641004094
154,2.236053037643434,-0.12144211577251554,35.7900009155273,55.38766736984253,46.965812683105504,67.49180698394773,0.011674583703279501
155,2.1220282554626464,-0.23052159696817404,35.78174915313723,46.007325935363774,44.66910705566406,56.138108062744166,0.0098784938454628
156,2.050843828916549,-0.24922668822109703,35.774249744415314,53.30708179473877,45.2258834838867,53.09258556365971,0.0
157,1.9996490329504013,-0.2096589535474777,35.7700004577637,52.6556782245636,46.44932670593263,63.75833511352539,0.03125196322798731
158,1.9492934942245495,-0.1634023625403642,35.762748908996585,43.76007342338563,48.221611309051504,81.3276071548462,0.05980979129672054
159,1.9036301732063283,-0.13229381199926143,35.7599983215332,53.341269731521606,49.07875394821167,90.04144325256348,0.030174308829009556
160,1.8661305576562885,-0.11179985627532008,35.75174970626831,48.890720510482794,49.34554414749146,93.28148555755612,0.007184359245002275
161,1.8344294548034679,-0.09698054417967793,35.74425096511841,49.67643442153931,49.772893524169945,94.89217987060547,0.03735866826027635
162,1.8079165041446665,-0.0828564340248704,35.73700103759764,51.08363885879516,51.009157371521,95.45872993469239,0.0
163,1.780564287304879,-0.07435122281312942,35.7299995422363,45.73199052810669,50.21367473602293,95.9444881439209,0.0
164,1.7483672589063655,-0.07452913504093886,35.7225008010864,78.22771663665772,52.073260498046885,95.68617286682128,0.49212859533727144
165,1.643688774108887,-0.1431516466662288,35.7200012207031,32.103174621937804,52.1855926513672,95.6175308227539,1.0616686552762984
166,1.5274895399808883,-0.20396111123263835,35.722250843048066,46.672771466244015,52.1855926513672,95.6175308227539,0.3759215954691172
167,1.609126543998718,-0.0682440541029791,35.72725000381467,43.59340654611587,54.218560886383024,95.6175308227539,1.458604522049427
168,1.8416013032197953,0.1785770553164184,35.7200012207031,47.46825399398803,54.26801099777218,94.29165267944336,0.10219750870019202
169,2.0598467975854877,0.35745287537574777,35.71900100708005,57.52319879531861,61.428571319580044,92.86514015197753,0.07884834241122007
170,2.132519000768659,0.3489817038178445,35.7099990844727,48.327838420867934,42.87240409851071,100.42139358520505,0.10453242603689436
171,2.0775093853473665,0.1863652454689146,35.7049999237061,56.79059839248657,44.304028987884564,101.78571681976348,0.02298994958400728
172,2.0074312567710884,0.019015769381076096,35.7000007629395,51.89987754821777,45.459097290039104,100.2208015441896,0.02298994958400728
173,1.9632175654172894,-0.07785582477226852,35.7000007629395,43.272283267974856,45.763125228881854,98.53861198425294,0.06555727720260628
174,1.9238486915826811,-0.11344742253422732,35.7000007629395,53.14102559089662,44.60195379257202,98.35513896942136,0.08172208610922098
175,1.8951612919568994,-0.10200420580804345,35.70100059509282,48.4627594947815,44.25213518142703,98.97342319488521,0.05226621329784396
176,1.8679998129606243,-0.08313863873481751,35.7099990844727,46.21794881820679,43.15079288482663,99.01275119781494,0.02263073176145555
177,1.8427838981151599,-0.07158704698085785,35.7099990844727,52.09890155792236,43.77655668258667,97.8295907974243,0.03412570655345919
178,1.8204672336578362,-0.06322700595483181,35.7099990844727,49.5305253982544,42.73015899658202,97.10323181152339,0.03556257858872416
179,1.7930768787860856,-0.06374954003840684,35.71975116729733,47.70512809753419,42.95848674774173,97.15100860595703,0.0655572783201933
180,1.7624439269304304,-0.06796643994748595,35.7200012207031,52.42124528884888,41.9926742553711,98.02716979980468,0.04328576475381853
181,1.7374187409877777,-0.06662207711488011,35.72475042343137,51.22100172042847,42.41391839981082,99.77134933471679,0.07489694450050592
182,1.7140339344739886,-0.06420481624081732,35.7299995422363,46.42979269027711,42.08302803039555,101.2408348083496,0.09627041146159158
183,1.6785943120718003,-0.07361912112683058,35.735750770568835,74.58852245807648,40.89438199996951,102.35730743408224,1.2899516740813848
184,1.5176091700792314,-0.1936901818960905,35.74600067138672,32.08241776837967,40.9279594421387,102.476516723633,1.1324346020817753
185,1.459051778912545,-0.1889008915051818,35.757748985290526,14.630647118249906,40.9279594421387,102.476516723633,0.6390487328171733
186,1.69362468123436,0.08316303759347651,35.77125024795535,54.198412847518924,40.9279594421387,102.476516723633,0.1505123218521474
187,1.9893108934164048,0.3538766074925662,35.7799987792969,70.80952434539795,40.9279594421387,102.476516723633,0.08154247794300325
188,2.176007878780366,0.4606333844363689,35.7799987792969,56.19719152450561,41.03540802001956,102.5820724487306,0.01149497479200364
189,2.1570100963115695,0.3242447830736638,35.7799987792969,50.56959705352783,41.417583274841334,102.99329051971426,0.026402520202100294
190,2.054048281908035,0.0929584849087405,35.7799987792969,49.79548254013062,41.034798145294204,100.24714279174833,0.035203359276056265
191,1.990951257944106,-0.06029229679843412,35.7799987792969,48.21672797203064,45.69719085693359,93.03779830932618,0.021553077735006827
192,1.9584490478038787,-0.11723763365298512,35.7799987792969,50.39865684509278,47.335775375366204,88.72835540771484,0.024426821805536767
193,1.9180120229721076,-0.12519232966005797,35.7799987792969,51.89133119583131,46.0384614944458,86.70397968292235,0.0
194,1.8866160988807645,-0.09995616711676113,35.7799987792969,47.14774098396301,45.5286933898926,90.32897186279297,0.029276263900101202
195,1.8774224042892425,-0.06513552088290452,35.7799987792969,77.99328460693359,47.10622596740725,90.8775978088379,0.21104055084288137
196,1.8430509328842182,-0.06808442194014788,35.783999633789065,6.748473700182515,48.5225868225098,90.361442565918,0.14638131670653812
197,1.8411816656589508,-0.04176017061836317,35.7900009155273,56.07203903198242,48.5225868225098,90.361442565918,0.1232117604464293
198,2.001785328984261,0.12459242236800494,35.7900009155273,67.69658126831055,48.80830116271976,89.28053665161136,0.20295814406126741
199,2.1734137892723093,0.2557925403118135,35.7900009155273,34.207570309937,59.9511604309082,75.9493637084961,0.23618580568581815
200,2.1854686081409467,0.2057520799338818,35.7900009155273,33.24847341673449,59.9511604309082,75.9493637084961,0.04328576475381854
201,2.161740452051161,0.11944072712212801,35.7900009155273,71.76495695114137,59.9511604309082,75.9493637084961,0.14512405358254907
202,2.207213056087494,0.09616667330265045,35.7900009155273,53.6398042678833,59.9511604309082,75.9493637084961,0.11836231499910344
203,2.2885830342769653,0.10893676970154043,35.797749614715606,58.00122128771618,51.80830268859866,72.16302528381345,1.2319379739463312
204,2.243263053894044,0.02986743547298832,35.802249717712435,38.89072023639456,47.80280799865725,69.05914926528928,1.14446837566793
205,2.2464293301105513,0.02544845877782793,35.810001373291,24.79181914632209,52.4786338806152,53.2623176574707,0.8874479494988924
206,2.3716315269470214,0.1221445137634873,35.819499778747534,61.94749643802643,63.11599483489988,48.7242322921753,0.18535646423697466
207,2.372661542892459,0.08211312741041185,35.82049980163573,59.47435874938965,71.8192901611328,45.0112533569336,0.11279443819075816
208,2.4251915097236645,0.1079098775982857,35.8300018310547,53.40109882354737,71.8192901611328,45.0112533569336,0.1108187418431045
209,2.4639500021934544,0.10970758702605969,35.8300018310547,46.72100105285645,71.8192901611328,45.0112533569336,0.19631261192262167
210,2.3549607694149017,-0.03698538707394618,35.8300018310547,56.28693513870239,75.62698440551755,41.49326772689821,1.3296452492475503
211,2.2705770909786236,-0.11986298691481356,35.8300018310547,59.40842475891113,76.4346771240234,40.7470283508301,0.11153717488050466
212,2.36060671210289,-0.013172402913914985,35.8300018310547,14.937118519982326,76.4346771240234,40.7470283508301,0.8989429339766509
213,2.1876430511474614,-0.16978009571321312,35.8300018310547,57.481685400009155,76.4346771240234,40.7470283508301,0.4450710475444792
214,2.077585664391517,-0.20904378443956378,35.83150157928468,44.72893781410532,62.005494499206506,40.08989477157597,0.2106813302263617
215,1.9742042392492294,-0.23331111446022984,35.8400001525879,66.53235640525818,57.19169692993162,39.64684524536137,0.09195979796350007
216,2.2329248964786528,0.0700703835362219,35.83100166320802,59.294260931015025,64.15506687164303,38.49119939804074,0.8897828802466403
217,2.0737327188253407,-0.07118417932651935,35.8300018310547,52.21855936050415,76.8498153686523,45.7491416931152,0.32850481420755384
218,1.8805887073278407,-0.19053941145539288,35.8199996948242,43.629425907135015,76.8498153686523,45.7491416931152,0.2956363715231425
219,1.916524240374565,-0.11260278979316356,35.81225099563597,38.271062350273134,76.8498153686523,45.7491416931152,1.5236229628324516
220,2.009682008624078,-0.009299561721127272,35.80525035858156,59.52441997528077,75.24603366851804,47.84895210266111,0.09303745180368424
221,2.032380187511447,0.02465324549702926,35.797749614715606,49.20756998062134,75.1159973144531,49.21820068359374,0.28827240876853455
222,2.065111225843427,0.09043954424560069,35.78725032806394,52.414529991149905,71.81013636589049,49.601951122283936,0.24875843301415435
223,2.0376827299594877,0.0390680098789744,35.77324991226199,46.08974380493164,30.037850856781017,50.29813690185544,0.1041732087731361
224,1.9806131124496438,-0.04042457945179197,35.76299896240236,50.8778998374939,28.299755144119267,50.85086240768431,0.016164808720350275
225,1.9453260898590112,-0.07499916218221189,35.75074987411499,47.448107242584236,23.29792375564578,62.77838811874388,0.028737437538802646
226,1.9033631414175023,-0.09669171757996081,35.738001251220695,47.18437118530274,21.8070812225342,67.1140975952148,0.028198610059916984
227,1.859645375609399,-0.10663397200405596,35.7299995422363,47.55006113052369,16.197802186012257,81.12426681518555,0.0
