,value
SCL_mean_stress,4.0180482742332275
SCL_mean_medit,5.303848091477439
ΔSCL_medit_minus_stress,1.2857998172442118
HR_mean_stress,88.68466295968919
HR_mean_medit,72.6681417835002
ΔHR_medit_minus_stress,-16.016521176188988
PVA_mean_stress,19.80969819965817
PVA_mean_medit,15.723754753385272
ΔPVA_medit_minus_stress,-4.085943446272896
RMSSD_ms_stress,265.6308715426216
RMSSD_ms_medit,225.8508310447337
ΔRMSSD_ms,-39.78004049788791
