sec,SCL,SCR,BVP,PVA,HR,MOTION
0,3.7703710913658144,0.0010000000474974,57.043956184387206,0.0,30.0,0.1456628842279314
1,3.86341444849968,0.0010000000474974,51.27106218338013,0.0,30.0,0.044363416917622
2,3.868259239196777,0.0010000000474974,50.44444437026978,0.0,30.0,0.0
3,3.9325388371944423,0.2474630180047824,50.09829053878784,0.0,30.0,0.0
4,3.9915921449661256,0.2675126280635594,50.308302879333496,0.267399263381958,31.21247730255127,0.0
5,3.995025479793549,0.0765095936134457,50.46398048400879,5.328449249267578,55.946590423583984,0.0
6,3.967101037502289,0.0259549134629195,50.73748483657837,5.25030517578125,61.79196548461914,0.0
7,3.9377269983291625,-0.0216664574501919,50.55372409820557,5.5335774421691895,61.79196548461914,0.0
8,3.912167716026306,-0.0523728561587631,49.73199043273926,8.811965894699096,68.21806364059448,0.0
9,3.888744759559631,-0.0626120376400649,49.98901109695434,4.311355328559875,81.11661415100097,0.0
10,3.869594419002533,-0.0578723827376961,48.4010989189148,7.0415138602256775,111.52790908813476,0.0
11,3.856776624917984,-0.0467910979874431,51.66239318847656,7.203907012939453,117.99410247802734,0.0
12,3.8418225705623623,-0.0411081849597394,53.54456644058227,7.84371166229248,117.83278198242188,0.0
13,3.824770325422287,-0.0399795830249786,46.067155075073245,15.512820386886595,106.11979064941406,0.0
14,3.806917035579681,-0.0409704577177762,49.15934104919434,21.266178035736083,86.87667961120606,0.0
15,3.790742212533951,-0.0410781393758952,51.629426097869874,21.453602075576782,79.80361766815186,0.0
16,3.772850716114044,-0.0429466354660689,48.58547010421753,12.287546205520629,86.88248405456542,0.0
17,3.756485164165497,-0.042225613631308,49.65628824234009,13.960927987098694,98.78262577056884,0.0
18,3.7448118805885313,-0.0373205860145389,48.89865684509277,15.322344398498537,100.20383720397948,0.0
19,3.72940001487732,-0.0370291594415902,51.272893810272215,16.558608078956603,102.53369083404542,0.0
20,3.714026308059693,-0.0368005731143056,44.244810718670486,21.647130298614503,98.17189407348634,0.0
21,3.704107803106308,-0.0322266797535121,41.32967045395635,21.44078063964844,88.04108428955078,0.0
22,3.6999114394187926,-0.0236537985503673,62.307691955566405,21.44078063964844,88.04108428955078,0.0
23,3.7215415060520174,0.0065197367744985,54.841880321502686,21.510377883911136,87.12161102294922,0.0
24,3.794137370586395,0.0756209753453731,47.96153793334961,22.029303979873657,81.09897594451904,0.0
25,3.872035890817642,0.1301421226933597,49.021367359161374,16.974359273910522,79.90945663452149,0.0
26,3.906064033508301,0.1277618872001766,52.09218559265137,23.60561661720276,81.07378120422364,0.0
27,3.938222903013229,0.1152742652222513,47.42002449035645,24.274725341796877,81.36819343566894,0.0
28,3.952299576997757,0.0816069147549568,49.85897426605224,23.25641040802002,80.31673698425293,0.0
29,3.9434110522270194,0.0337499865330754,50.05128173828125,22.496337604522704,76.74713764190673,0.0
30,3.931127369403839,0.0016365988045436,48.31501817703247,22.429791927337646,74.21888427734375,0.0
31,3.911671805381775,-0.0239148517139255,52.38461532592773,22.181929302215572,73.34726181030274,0.0
32,3.894772171974182,-0.0367985167540609,49.18803424835205,24.30769276618957,75.14758605957032,0.0
33,3.876689946651459,-0.042577798385173,49.90842485427856,22.537851333618164,76.01620826721191,0.0
34,3.8545640408992767,-0.0480260292068123,51.07936477661133,15.164834976196286,76.28734588623047,0.0
35,3.837168478965759,-0.0469664494507014,46.15079364776612,18.84432206153869,76.56939640045167,0.0
36,3.8187429428100583,-0.0467669985257088,49.04945068359375,26.44139175415039,77.02948341369628,0.0
37,3.799249261617661,-0.0472277018241583,51.474359130859376,26.93040237426758,77.07242889404297,0.0
38,3.8107699871063234,-0.0187955152970971,47.507936573028566,21.881562805175783,77.6529613494873,0.0
39,3.859637749195099,0.0361503309570252,46.7918194770813,18.86446895599365,78.65803375244141,0.0
40,3.889927339553833,0.0598995321430265,52.859584712982176,8.909646320343018,79.9267017364502,0.0
41,3.8885158360004426,0.0458430336322634,50.47924308776855,14.379121112823489,86.19364738464357,0.0
42,3.865207380056381,0.00864054222111,49.36446895599365,10.410256791114808,96.01319274902345,0.0
43,3.8441877365112314,-0.0229051225818693,50.77960958480835,9.681929540634156,97.35332107543944,0.0739988986402749
44,3.827516996860504,-0.039713736064732,49.62087903022766,26.691085815429688,97.7198715209961,0.1126148294657467
45,3.8127918422222136,-0.0426583791151642,42.87057392308488,26.691085815429688,87.02520294189453,0.1630849519744515
46,3.829691433906555,-0.0108772902844066,53.05738697052002,26.691085815429688,85.83690643310547,0.0770522516220807
47,3.862269973754883,0.0275246574776246,52.88339433670044,42.89987711906433,86.68041172027588,0.0071843592450022
48,3.866351819038391,0.0289302200078963,50.19108648300171,24.66422462463379,83.71755981445312,0.0
49,3.8522370159626007,0.009947136726987,45.87423701286316,23.4371190071106,82.41448802947998,0.0
50,3.848803687095642,0.0009054762987943,53.72954769134522,25.109890127182005,79.61961364746094,0.0
51,3.916096991300583,0.056443517981097,45.47863273620605,22.82417643070221,82.63271312713623,0.0
52,3.993156182765961,0.1107996305450797,48.94383382797241,9.093406867980956,98.06151714324952,0.0
53,3.995826578140259,0.0872103755362331,54.11599502563477,15.903540849685667,106.3341785430908,0.0
54,3.966528820991516,0.0335339782875961,46.44932842254639,17.291819667816164,104.47607803344728,0.0
55,3.9358577370643615,-0.0177542726349201,51.047008228302005,14.334554672241214,101.3780994415283,0.0
56,3.91544845700264,-0.0478276342153549,51.39987802505493,14.713064908981323,99.9645881652832,0.0
57,3.896984773874282,-0.0555189752951264,46.46214904785156,12.651404118537902,94.87044563293458,0.0
58,3.873599964380264,-0.0563611037097871,52.1916971206665,9.474358868598936,89.82035827636719,0.0
59,3.8498718202114106,-0.0558314064517616,48.98901100158692,8.278388023376465,89.82035827636719,0.0
60,3.8346125423908233,-0.0491018611006438,46.65445671081543,8.278388023376465,89.82035827636719,0.0
61,3.820841073989868,-0.0434018432162701,54.186813068389895,22.61294250488281,81.59957580566406,0.0
62,3.801156669855118,-0.0440114890225231,48.95909624099731,23.794872283935543,76.92780456542968,0.0
63,3.7814340591430655,-0.0449737820774316,48.08791208267212,22.860194778442384,75.21149005889893,0.0
64,3.763542568683624,-0.0451163944788276,51.54151420593261,25.84127006530762,74.96651763916016,0.0
65,3.7449262917041777,-0.0463093139231204,50.18803396224976,20.641635966300964,76.26671562194824,0.0
66,3.727492618560791,-0.0453198161907493,49.54029321670532,18.70573947429657,78.25703315734863,0.0
67,3.719138145446777,-0.0359953470528125,50.26190443038941,20.5610502243042,82.9546480178833,0.0
68,3.7235252022743226,-0.0173365995018684,50.085470008850095,14.766788625717163,86.39290218353271,0.0057474873960018
69,3.748550373315811,0.0149363145406823,49.39499354362488,19.557386684417725,90.988427734375,0.0057474873960018
70,3.765793311595917,0.0312751697842031,50.516483306884766,17.435897827148438,92.95120239257812,0.0
71,3.7663655281066895,0.0255894660949706,46.22893772125244,17.76251564025879,93.1937183380127,0.0
72,3.7572481095790864,0.0084659062848003,49.47008571624756,30.5006103515625,102.65184020996094,0.0
73,3.74584184885025,-0.0092623977630864,51.28082990646362,22.86202716827393,99.15903091430664,0.0
74,3.740501165390015,-0.0159496693173423,48.82478647232056,21.192918634414674,92.779207611084,0.0
75,3.7446592926979054,-0.0081648548235534,50.10378503799439,20.537240982055664,73.34038772583008,0.0
76,3.77044740319252,0.0196746544912457,50.566544437408446,26.91086707115173,77.75921173095703,0.0
77,3.7900937139987945,0.0353462325409054,48.979243230819705,21.647741413116456,79.95606555938721,0.0
78,3.793336308002472,0.0302809607237576,50.888888931274415,25.98656859397888,90.22959842681884,0.0
79,3.7805185198783873,0.0085295149765442,52.281440544128415,23.22161159515381,110.1882890701294,0.0023349167779088
80,3.810350358486176,0.0289337830035946,43.518925476074216,30.228327369689943,100.14044570922852,0.1030955530703067
81,3.9187292039394377,0.1159463277086615,50.25152606964112,32.20085387229919,80.8687406539917,0.0605282267555593
82,4.023102515935898,0.1826164435595273,56.88278350830078,25.172161388397218,87.39823265075684,0.0398731939494609
